层数,序号,时间,中效滤芯阻力(mBar),高效滤芯阻力(mBar),尘气室蝶阀状态(),净气室蝶阀状态(),刮刀位置(mm),刮刀扭矩(%),加工平台位置(mm),加工平台扭矩(%),压缩空气压力(Bar),环境氧含量(%),过滤器气源压力(Bar),脉冲清灰压力(Bar),成形室压力(mBar),成形室温度(℃),加热板温度(℃),氩气压力(Bar),气动蝶阀压力(Bar),循环气体实时流量(m3/h),风机转速(%),净气室压力(mBar),落粉轴角度(°),落粉轴扭矩(%),储粉桶物位计(mm),成形室氧含量(%)
10,3615,2024-11-01 18:21:15,2.674923,7.053706,1,1,519.999,9.824218,84.13,-12.010781,5.26114,16.692709,5.09838,3.767361,12.734375,33.318867,34.599998,5.141059,5.230035,442.046265,46.495708,7.560764,314.838,-0.683594,168,0.001
10,3616,2024-11-01 18:21:15,2.675827,7.039902,1,1,519.999,9.726562,84.13,-12.314852,5.261863,16.692709,5.09838,3.767361,12.64757,33.318867,34.599998,5.141059,5.230035,442.046265,46.395657,7.560764,314.838,-1.386719,168,0.001
10,3617,2024-11-01 18:21:16,2.675827,7.039902,1,1,519.999,9.726562,84.13,-12.314852,5.261863,16.692709,5.09838,3.767361,12.64757,33.318867,34.599998,5.141059,5.230035,442.046265,46.395657,7.560764,314.838,-1.386719,168,0.001
10,3618,2024-11-01 18:21:16,2.677467,7.00895,1,1,475.742,-48.046871,84.63,6.659142,5.26114,16.692709,5.09838,3.767361,12.66059,33.318867,34.599998,5.141782,5.230035,442.046265,46.395657,7.526043,314.838,-1.015625,168,0.001
10,3619,2024-11-01 18:21:17,2.674899,7.012074,1,1,366.128,-42.773434,84.631,-4.83472,5.262587,16.692709,5.09838,3.768085,12.654079,33.318867,34.599998,5.142506,5.230035,442.046265,46.295605,7.51302,314.838,-1.328125,168,0.001
10,3620,2024-11-01 18:21:17,2.67271,6.993935,1,1,206.926,-46.367184,84.63,-6.507107,5.26114,16.692709,5.09838,3.768085,12.654079,33.318867,34.599998,5.141059,5.230035,442.046265,46.295605,7.495659,314.838,-0.390625,168,0.001
10,3621,2024-11-01 18:21:18,2.670119,6.977585,1,1,131.725,-50.878902,84.63,-6.689549,5.26114,16.692709,5.09838,3.768085,12.714844,33.318867,34.599998,5.141782,5.230035,435.862549,46.195549,7.508682,314.838,-1.386719,167,0.001
10,3622,2024-11-01 18:21:18,2.66778,7.00245,1,1,42.924,-45.917965,84.63,-6.081408,5.260417,16.692709,5.09838,3.768085,12.601996,33.304398,34.599998,5.142506,5.230035,432.679108,46.195549,7.508682,314.838,-0.664062,167,0.001
10,3623,2024-11-01 18:21:19,2.667391,6.925406,1,1,-5.012,-10.937499,84.16,-15.112299,5.26114,16.692709,5.09838,3.767361,12.658421,33.304398,34.599998,5.141782,5.230035,429.613281,46.195549,7.504341,314.838,-0.761719,168,0.001
10,3624,2024-11-01 18:21:19,2.664598,6.961772,1,1,-5.0,-9.179687,84.16,-2.432563,5.262587,16.692709,5.09838,3.768085,12.619358,33.289932,34.599998,5.142506,5.230035,426.473175,46.195549,7.526043,34.088,-17.402342,167,0.001
