序号,时间,0#AD转换器电压[X轴](V),0#AD转换器电压[Y轴](V),0#成形室氧含量监控用氧传感器(%),0#成形室氧含量偏差(%),0#AGC电流[X轴](mA),0#AGC电流[Y轴](mA),0#DSP核心电压[X轴](V),0#DSP核心电压[Y轴](V),0#DSP端口电压[X轴](V),0#DSP端口电压[Y轴](V),0#模拟电压[X轴](V),0#模拟电压[Y轴](V),0#伺服温度[X轴](℃),0#伺服温度[Y轴](℃),0#输出电流[X轴](mA),0#输出电流[Y轴](mA),0#振镜温度[X轴](℃),0#振镜温度[Y轴](℃),0#功率[X轴](W),0#功率[Y轴](W)
43249,2025/5/28 11:16:16,4.95,4.93,0.001,0,50,48,1.85,1.85,3.2,3.18,8.84,8.81,52.3,54.2,-20,-23,43.9,43.9,6.33,6.06
43250,2025/5/28 11:16:16,4.95,4.93,0.001,0,50,48,1.85,1.85,3.21,3.18,8.83,8.8,52.3,54.3,46,-6,43.9,44.0,6.24,6.06
43251,2025/5/28 11:16:17,4.94,4.93,0.001,0,50,48,1.85,1.85,3.21,3.19,8.83,8.8,52.2,54.3,31,14,43.9,44.0,6.26,6.06
43252,2025/5/28 11:16:17,4.95,4.93,0.001,0,51,48,1.85,1.85,3.2,3.18,8.83,8.8,52.3,54.3,8,3,43.9,44.0,6.26,6.06
43253,2025/5/28 11:16:18,4.95,4.93,0.001,0,50,48,1.85,1.85,3.2,3.19,8.83,8.8,52.3,54.3,60,6,43.9,44.0,6.25,6.06
43254,2025/5/28 11:16:19,4.95,4.93,0.001,0,50,48,1.85,1.85,3.2,3.18,8.84,8.8,52.3,54.3,70,-23,43.9,44.0,6.26,6.02
43255,2025/5/28 11:16:19,4.95,4.93,0.001,0,51,48,1.85,1.85,3.2,3.18,8.84,8.8,52.3,54.3,6,39,44.0,44.0,6.26,6.06
43256,2025/5/28 11:16:20,4.95,4.94,0.001,0,51,48,1.85,1.85,3.21,3.19,8.84,8.8,52.3,54.3,-20,8,43.9,44.0,6.26,6.07
43257,2025/5/28 11:16:20,4.95,4.93,0.001,0,50,48,1.85,1.85,3.2,3.19,8.83,8.8,52.2,54.2,-11,-184,43.9,43.9,6.26,6.07
43258,2025/5/28 11:16:21,4.95,4.93,0.001,0,51,48,1.85,1.85,3.2,3.19,8.83,8.79,52.3,54.2,37,5,43.9,43.9,6.23,6.07
43259,2025/5/28 11:16:22,4.95,4.93,0.001,0,51,48,1.85,1.85,3.2,3.19,8.83,8.8,52.3,54.2,7,33,43.9,43.9,6.26,6.04
43260,2025/5/28 11:16:22,4.95,4.93,0.001,0,51,48,1.85,1.85,3.2,3.19,8.84,8.8,52.2,54.2,1,4,43.9,43.9,6.26,6.06
43261,2025/5/28 11:16:23,4.95,4.94,0.001,0,51,48,1.85,1.85,3.21,3.19,8.83,8.81,52.3,54.2,-62,2,43.9,43.9,6.26,6.06
43262,2025/5/28 11:16:23,4.95,4.93,0.001,0,51,48,1.85,1.85,3.21,3.19,8.83,8.8,52.3,54.2,95,-14,43.9,43.9,6.29,6.05
43263,2025/5/28 11:16:24,4.95,4.94,0.001,0,51,48,1.85,1.85,3.21,3.18,8.83,8.81,52.3,54.2,74,2,43.9,43.9,6.31,6.05
43264,2025/5/28 11:16:25,4.95,4.93,0.001,0,51,48,1.85,1.85,3.2,3.18,8.84,8.8,52.3,54.2,-22,-3,43.9,43.9,6.28,6.05
43265,2025/5/28 11:16:25,4.95,4.93,0.001,0,51,48,1.85,1.85,3.2,3.19,8.86,8.8,52.2,54.2,-16,-27,43.9,43.9,6.3,6.06
43266,2025/5/28 11:16:26,4.95,4.93,0.001,0,51,48,1.85,1.85,3.2,3.19,8.83,8.8,52.3,54.2,-15,13,43.9,43.9,6.26,6.06
43267,2025/5/28 11:16:27,4.95,4.93,0.001,0,51,48,1.85,1.85,3.21,3.19,8.84,8.79,52.3,54.2,13,5,43.9,43.9,6.29,6.05
43268,2025/5/28 11:16:27,4.95,4.93,0.001,0,51,48,1.85,1.85,3.2,3.19,8.84,8.8,52.3,54.2,179,-90,44.0,43.9,6.27,6.07
43269,2025/5/28 11:16:28,4.95,4.94,0.001,0,51,48,1.85,1.85,3.2,3.18,8.83,8.81,52.3,54.2,-15,-6,43.9,43.9,6.29,6.08
43270,2025/5/28 11:16:29,4.95,4.93,0.001,0,51,48,1.85,1.86,3.2,3.19,8.84,8.79,52.3,54.2,25,-12,43.9,43.9,6.27,6.06
43271,2025/5/28 11:16:29,4.95,4.93,0.001,0,51,48,1.85,1.85,3.2,3.19,8.84,8.8,52.3,54.2,-65,9,44.0,44.0,6.26,6.06
43272,2025/5/28 11:16:30,4.95,4.93,0.001,0,51,48,1.86,1.85,3.2,3.19,8.84,8.79,52.3,54.2,31,-6,44.0,43.9,6.27,6.06
43273,2025/5/28 11:16:30,4.95,4.93,0.001,0,51,48,1.85,1.85,3.2,3.19,8.84,8.8,52.3,54.2,46,11,44.0,43.9,6.27,6.06
43274,2025/5/28 11:16:31,4.95,4.93,0.001,0,51,48,1.85,1.85,3.2,3.18,8.83,8.81,52.3,54.3,67,8,44.0,44.0,6.27,6.04
43275,2025/5/28 11:16:32,4.94,4.93,0.001,0,51,48,1.85,1.85,3.2,3.18,8.83,8.79,52.3,54.2,11,1,44.0,44.0,6.25,6.06
43276,2025/5/28 11:16:32,4.95,4.93,0.001,0,52,48,1.85,1.85,3.2,3.18,8.83,8.79,52.2,54.3,20,-10,43.9,44.0,6.28,6.05
43277,2025/5/28 11:16:33,4.95,4.93,0.001,0,51,48,1.84,1.85,3.2,3.18,8.83,8.8,52.3,54.2,-31,9,43.9,44.0,6.26,6.05
43278,2025/5/28 11:16:33,4.95,4.93,0.001,0,51,48,1.85,1.85,3.22,3.18,8.83,8.8,52.3,54.2,-26,-19,43.9,43.9,6.24,6.06
43279,2025/5/28 11:16:34,4.96,4.94,0.001,0,51,48,1.85,1.85,3.2,3.19,8.83,8.8,52.2,54.2,-69,-3,43.9,43.9,6.26,6.05
43280,2025/5/28 11:16:35,4.96,4.93,0.001,0,50,48,1.85,1.85,3.21,3.19,8.85,8.8,52.3,54.2,-17,19,44.0,43.9,6.26,6.05
43281,2025/5/28 11:16:35,4.95,4.94,0.001,0,51,48,1.85,1.85,3.2,3.19,8.83,8.8,52.3,54.3,-26,31,43.9,44.0,6.27,6.05
43282,2025/5/28 11:16:36,4.95,4.93,0.001,0,51,48,1.85,1.85,3.21,3.18,8.83,8.8,52.3,54.2,99,-20,44.0,44.0,6.26,6.05
43283,2025/5/28 11:16:36,4.95,4.93,0.001,0,51,48,1.85,1.84,3.21,3.19,8.85,8.8,52.2,54.3,23,14,43.9,44.0,6.28,6.06
43284,2025/5/28 11:16:37,4.95,4.93,0.001,0,51,48,1.85,1.85,3.2,3.18,8.84,8.8,52.3,54.2,-11,-39,44.0,44.0,6.27,6.07
43285,2025/5/28 11:16:38,4.95,4.93,0.001,0,51,48,1.85,1.85,3.21,3.19,8.83,8.8,52.3,54.2,18,-15,44.0,43.9,6.27,6.07
43286,2025/5/28 11:16:38,4.95,4.93,0.001,0,50,48,1.85,1.85,3.21,3.18,8.84,8.8,52.3,54.2,-70,24,44.0,43.9,6.26,6.08
43287,2025/5/28 11:16:39,4.95,4.93,0.001,0,51,48,1.85,1.85,3.2,3.18,8.84,8.79,52.3,54.2,16,-14,44.0,43.9,6.29,6.02
43288,2025/5/28 11:16:40,4.94,4.93,0.001,0,51,48,1.85,1.85,3.2,3.18,8.84,8.8,52.3,54.2,-4,-26,44.0,43.9,6.29,6.07
43289,2025/5/28 11:16:40,4.94,4.93,0.001,0,51,48,1.85,1.85,3.21,3.19,8.88,8.8,52.3,54.2,41,13,44.0,43.9,6.28,6.07
43290,2025/5/28 11:16:41,4.95,4.94,0.001,0,51,48,1.85,1.85,3.2,3.19,8.83,8.8,52.3,54.2,41,25,44.0,43.9,6.28,6.07
43291,2025/5/28 11:16:41,4.95,4.93,0.001,0,51,48,1.85,1.85,3.2,3.19,8.84,8.81,52.2,54.2,1,19,44.0,43.9,6.27,6.06
43292,2025/5/28 11:16:42,4.95,4.93,0.001,0,51,48,1.85,1.85,3.21,3.19,8.83,8.81,52.3,54.2,22,-3,43.9,43.9,6.31,6.06
43293,2025/5/28 11:16:43,4.95,4.93,0.001,0,50,48,1.85,1.85,3.2,3.19,8.84,8.8,52.3,54.2,-30,-28,44.0,43.9,6.28,6.07
43294,2025/5/28 11:16:43,4.95,4.93,0.001,0,51,48,1.85,1.85,3.2,3.18,8.84,8.8,52.3,54.2,28,306,43.9,44.0,6.27,6.06
43295,2025/5/28 11:16:44,4.95,4.93,0.001,0,51,48,1.85,1.85,3.2,3.18,8.83,8.8,52.2,54.2,38,10,43.9,43.9,6.27,6.07
43296,2025/5/28 11:16:45,4.95,4.94,0.001,0,51,48,1.85,1.85,3.2,3.19,8.83,8.81,52.3,54.2,77,37,43.9,43.9,6.27,6.07
43297,2025/5/28 11:16:45,4.95,4.93,0.001,0,51,48,1.85,1.85,3.2,3.19,8.83,8.79,52.2,54.3,17,-31,43.9,44.0,6.28,6.06
43298,2025/5/28 11:16:46,4.95,4.93,0.001,0,51,48,1.85,1.86,3.21,3.18,8.83,8.8,52.2,54.2,4,-1,43.9,43.9,6.3,6.06
43299,2025/5/28 11:16:46,4.95,4.93,0.001,0,51,48,1.85,1.85,3.2,3.19,8.83,8.8,52.2,54.2,-12,9,44.0,43.9,6.28,6.07
43300,2025/5/28 11:16:47,4.95,4.93,0.001,0,51,48,1.85,1.85,3.2,3.19,8.84,8.8,52.3,54.2,58,4,44.0,43.9,6.29,6.07
43301,2025/5/28 11:16:48,4.95,4.94,0.001,0,51,48,1.85,1.86,3.21,3.19,8.84,8.81,52.3,54.2,7,17,44.0,44.0,6.29,6.06
43302,2025/5/28 11:16:48,4.95,4.94,0.001,0,51,48,1.85,1.85,3.2,3.19,8.84,8.8,52.3,54.2,-55,-25,44.0,43.9,6.27,6.07
43303,2025/5/28 11:16:49,4.95,4.93,0.001,0,51,48,1.85,1.85,3.2,3.18,8.85,8.8,52.3,54.2,39,12,44.0,44.0,6.3,6.08
43304,2025/5/28 11:16:49,4.95,4.93,0.001,0,51,48,1.85,1.85,3.21,3.18,8.83,8.79,52.3,54.2,5,-5,44.0,43.9,6.26,6.03
43305,2025/5/28 11:16:50,4.95,4.93,0.001,0,51,48,1.85,1.85,3.2,3.19,8.82,8.8,52.3,54.2,-55,26,44.0,44.0,6.29,6.08
43306,2025/5/28 11:16:51,4.95,4.93,0.001,0,51,48,1.85,1.85,3.2,3.19,8.83,8.79,52.3,54.2,-10,-1,44.0,43.9,6.26,6.07
43307,2025/5/28 11:16:51,4.95,4.93,0.001,0,51,48,1.85,1.85,3.2,3.19,8.84,8.81,52.3,54.2,11,16,43.9,44.0,6.28,6.07
43308,2025/5/28 11:16:52,4.95,4.93,0.001,0,51,48,1.85,1.85,3.21,3.18,8.84,8.8,52.3,54.2,-15,11,44.0,43.9,6.27,6.07
43309,2025/5/28 11:16:53,4.95,4.93,0.001,0,51,48,1.85,1.85,3.2,3.18,8.84,8.8,52.3,54.2,69,-10,43.9,43.9,6.29,6.06
43310,2025/5/28 11:16:53,4.94,4.93,0.001,0,51,48,1.85,1.85,3.2,3.18,8.84,8.79,52.3,54.2,65,-10,44.0,43.9,6.28,6.06
43311,2025/5/28 11:16:54,4.95,4.93,0.001,0,51,48,1.85,1.85,3.2,3.18,8.84,8.81,52.3,54.2,13,-9,43.9,44.0,6.28,6.06
43312,2025/5/28 11:16:54,4.94,4.93,0.001,0,51,48,1.85,1.85,3.2,3.18,8.83,8.79,52.3,54.2,56,-18,44.0,44.0,6.28,6.06
43313,2025/5/28 11:16:55,4.95,4.93,0.001,0,51,48,1.85,1.85,3.2,3.19,8.84,8.8,52.3,54.2,-35,1,44.0,44.0,6.25,6.06
43314,2025/5/28 11:16:56,4.95,4.93,0.001,0,51,48,1.85,1.85,3.2,3.19,8.83,8.8,52.3,54.2,16,37,44.0,43.9,6.31,6.06
43315,2025/5/28 11:16:56,4.95,4.93,0.001,0,51,48,1.85,1.85,3.2,3.18,8.82,8.79,52.3,54.3,-24,10,44.0,44.0,6.29,6.07
43316,2025/5/28 11:16:57,4.95,4.93,0.001,0,51,48,1.85,1.85,3.21,3.18,8.83,8.8,52.3,54.3,70,-4,44.0,44.0,6.26,6.07
43317,2025/5/28 11:16:57,4.95,4.93,0.001,0,51,48,1.85,1.85,3.2,3.18,8.83,8.8,52.3,54.2,82,-2,44.0,44.0,6.27,6.07
43318,2025/5/28 11:16:58,4.94,4.93,0.001,0,51,48,1.85,1.85,3.21,3.18,8.83,8.81,52.3,54.3,3,-6,44.0,44.0,6.28,6.06
43319,2025/5/28 11:16:59,4.95,4.93,0.001,0,51,48,1.85,1.85,3.2,3.19,8.84,8.8,52.3,54.3,20,8,44.0,44.0,6.26,6.07
43320,2025/5/28 11:16:59,4.95,4.93,0.001,0,50,48,1.85,1.85,3.2,3.19,8.84,8.81,52.3,54.3,24,5,43.9,44.0,6.27,6.06
43321,2025/5/28 11:17:00,4.96,4.93,0.001,0,51,48,1.85,1.85,3.2,3.18,8.83,8.79,52.3,54.3,-1,30,43.9,44.0,6.26,6.07
43322,2025/5/28 11:17:00,4.95,4.93,0.001,0,51,48,1.85,1.85,3.2,3.19,8.83,8.79,52.3,54.3,84,0,44.0,44.0,6.27,6.07
43323,2025/5/28 11:17:01,4.94,4.93,0.001,0,51,48,1.85,1.85,3.2,3.19,8.83,8.81,52.3,54.2,10,25,44.0,44.0,6.35,6.07
43324,2025/5/28 11:17:02,4.95,4.93,0.001,0,51,48,1.85,1.85,3.2,3.19,8.83,8.8,52.3,54.3,36,-15,44.0,44.0,6.26,6.07
43325,2025/5/28 11:17:02,4.95,4.93,0.001,0,51,48,1.85,1.85,3.2,3.19,8.83,8.8,52.3,54.2,-7,20,43.9,43.9,6.26,6.07
43326,2025/5/28 11:17:03,4.94,4.93,0.001,0,51,48,1.85,1.85,3.21,3.19,8.82,8.8,52.3,54.2,68,19,44.0,43.9,6.27,6.08
43327,2025/5/28 11:17:04,4.95,4.93,0.001,0,51,48,1.85,1.85,3.2,3.18,8.83,8.8,52.3,54.2,-12,9,44.0,44.0,6.26,6.06
43328,2025/5/28 11:17:04,4.95,4.93,0.001,0,51,48,1.85,1.85,3.21,3.18,8.83,8.8,52.3,54.2,100,-5,44.0,43.9,6.28,6.06
43329,2025/5/28 11:17:05,4.95,4.93,0.001,0,51,48,1.85,1.85,3.2,3.18,8.84,8.8,52.3,54.3,-70,16,44.0,44.0,6.29,6.06
43330,2025/5/28 11:17:06,4.95,4.93,0.001,0,51,48,1.85,1.85,3.2,3.19,8.83,8.8,52.3,54.2,-68,-31,43.9,43.9,6.27,6.07
43331,2025/5/28 11:17:06,4.95,4.93,0.001,0,50,48,1.85,1.85,3.2,3.19,8.84,8.81,52.3,54.3,64,28,43.9,44.0,6.34,6.08
43332,2025/5/28 11:17:07,4.95,4.94,0.001,0,51,48,1.85,1.85,3.21,3.18,8.83,8.8,52.3,54.2,-10,29,43.9,43.9,6.26,6.07
43333,2025/5/28 11:17:08,4.95,4.93,0.001,0,50,48,1.85,1.85,3.2,3.18,8.83,8.8,52.3,54.2,-52,294,43.9,43.9,6.27,6.07
43334,2025/5/28 11:17:08,4.95,4.93,0.001,0,50,48,1.86,1.85,3.2,3.18,8.84,8.8,52.3,54.2,-51,27,43.9,43.9,6.27,6.07
43335,2025/5/28 11:17:09,4.95,4.93,0.001,0,51,48,1.85,1.85,3.2,3.19,8.83,8.8,52.3,54.2,74,20,43.9,43.9,6.28,6.08
43336,2025/5/28 11:17:09,4.95,4.93,0.001,0,51,48,1.85,1.85,3.2,3.19,8.84,8.8,52.3,54.2,217,50,43.9,43.9,6.27,6.07
43337,2025/5/28 11:17:10,4.95,4.93,0.001,0,51,48,1.85,1.85,3.2,3.18,8.84,8.8,52.3,54.2,22,-1,43.9,43.9,6.29,6.07
43338,2025/5/28 11:17:11,4.94,4.93,0.001,0,51,48,1.85,1.84,3.2,3.18,8.83,8.8,52.3,54.2,-76,5,44.0,43.9,6.28,6.06
43339,2025/5/28 11:17:11,4.95,4.93,0.001,0,51,48,1.85,1.85,3.2,3.19,8.83,8.8,52.3,54.2,-7,-23,44.0,43.9,6.27,6.07
43340,2025/5/28 11:17:12,4.95,4.93,0.001,0,50,48,1.85,1.85,3.2,3.18,8.83,8.79,52.3,54.2,90,25,43.9,43.9,6.27,6.06
43341,2025/5/28 11:17:12,4.94,4.93,0.001,0,51,48,1.85,1.85,3.2,3.19,8.8,8.8,52.3,54.3,-3,30,43.9,44.0,6.27,6.06
43342,2025/5/28 11:17:13,4.95,4.93,0.001,0,51,48,1.85,1.85,3.2,3.18,8.83,8.8,52.3,54.3,5,22,43.9,44.0,6.29,6.06
43343,2025/5/28 11:17:14,4.95,4.93,0.001,0,51,48,1.85,1.85,3.2,3.18,8.83,8.8,52.3,54.2,23,-2,44.0,43.9,6.28,6.06
43344,2025/5/28 11:17:14,4.95,4.93,0.001,0,51,48,1.85,1.85,3.2,3.18,8.86,8.81,52.3,54.3,-9,-3,44.0,44.0,6.27,6.07
43345,2025/5/28 11:17:15,4.95,4.93,0.001,0,51,48,1.85,1.85,3.2,3.19,8.84,8.8,52.3,54.3,47,-9,44.0,44.0,6.27,6.07
43346,2025/5/28 11:17:15,4.95,4.93,0.001,0,50,48,1.85,1.85,3.2,3.18,8.84,8.79,52.3,54.2,42,5,43.9,44.0,6.27,6.07
43347,2025/5/28 11:17:16,4.95,4.93,0.001,0,51,48,1.85,1.85,3.2,3.18,8.86,8.79,52.3,54.3,8,4,44.0,44.0,6.28,6.06
43348,2025/5/28 11:17:17,4.95,4.93,0.001,0,51,48,1.85,1.84,3.2,3.19,8.87,8.79,52.3,54.3,-64,-11,43.9,44.0,6.27,6.08
43349,2025/5/28 11:17:17,4.95,4.93,0.001,0,51,48,1.85,1.85,3.2,3.18,8.83,8.81,52.3,54.3,-25,21,43.9,44.0,6.27,6.07
43350,2025/5/28 11:17:18,4.95,4.93,0.001,0,51,48,1.85,1.85,3.2,3.18,8.83,8.8,52.3,54.3,-20,-7,44.0,44.0,6.27,6.09
43351,2025/5/28 11:17:18,4.95,4.93,0.001,0,51,48,1.85,1.85,3.2,3.19,8.83,8.79,52.3,54.3,21,35,43.9,44.0,6.27,6.07
43352,2025/5/28 11:17:19,4.95,4.93,0.001,0,51,48,1.85,1.85,3.21,3.18,8.83,8.8,52.2,54.3,-54,7,43.9,44.0,6.26,6.07
43353,2025/5/28 11:17:20,4.95,4.93,0.001,0,51,48,1.85,1.85,3.2,3.19,8.83,8.8,52.2,54.3,44,22,43.9,44.0,6.27,6.08
43354,2025/5/28 11:17:20,4.95,4.93,0.001,0,51,48,1.85,1.85,3.2,3.18,8.84,8.8,52.3,54.3,-14,10,43.9,44.0,6.27,6.09
43355,2025/5/28 11:17:21,4.95,4.93,0.001,0,51,48,1.85,1.85,3.2,3.18,8.84,8.8,52.3,54.3,62,23,43.9,44.0,6.27,6.09
43356,2025/5/28 11:17:21,4.95,4.94,0.001,0,51,48,1.85,1.85,3.2,3.18,8.84,8.8,52.3,54.3,37,-3,44.0,44.0,6.26,6.08
43357,2025/5/28 11:17:22,4.95,4.93,0.001,0,51,48,1.85,1.85,3.2,3.18,8.82,8.79,52.3,54.3,-79,15,44.0,44.0,6.24,6.07
43358,2025/5/28 11:17:23,4.95,4.93,0.001,0,51,48,1.85,1.85,3.21,3.19,8.83,8.8,52.3,54.3,22,10,44.0,44.0,6.26,6.06
43359,2025/5/28 11:17:23,4.95,4.93,0.001,0,51,48,1.85,1.85,3.2,3.18,8.84,8.8,52.3,54.3,161,182,44.0,44.0,6.29,6.07
43360,2025/5/28 11:17:24,4.95,4.93,0.001,0,51,48,1.85,1.85,3.21,3.18,8.85,8.8,52.3,54.3,2,-6,44.0,44.0,6.27,6.08
43361,2025/5/28 11:17:24,4.95,4.93,0.001,0,51,48,1.85,1.85,3.19,3.19,8.83,8.8,52.3,54.3,-11,9,44.0,43.9,6.27,6.07
43362,2025/5/28 11:17:25,4.94,4.93,0.001,0,51,48,1.85,1.85,3.2,3.18,8.83,8.79,52.3,54.3,36,11,44.0,44.0,6.28,6.06
43363,2025/5/28 11:17:26,4.95,4.93,0.001,0,51,48,1.85,1.85,3.2,3.18,8.84,8.79,52.3,54.3,20,-30,44.0,44.0,6.25,6.07
43364,2025/5/28 11:17:26,4.94,4.93,0.001,0,51,48,1.85,1.85,3.21,3.19,8.83,8.79,52.4,54.3,-3,19,44.0,44.0,6.26,6.07
43365,2025/5/28 11:17:27,4.95,4.93,0.001,0,51,48,1.85,1.85,3.2,3.18,8.83,8.79,52.3,54.3,25,1,44.0,44.0,6.27,6.07
