层数,序号,时间,成形室压力(mBar),成形室温度(℃),加热板温度(℃),氩气压力(Bar),中效滤芯阻力(mBar),高效滤芯阻力(mBar),尘气室蝶阀状态(),净气室蝶阀状态(),刮刀位置(mm),刮刀扭矩(%),加工平台位置(mm),加工平台扭矩(%),卸灰蝶阀状态(),过滤器安全门锁(),压缩空气压力(Bar),环境氧含量(%),过滤器气源压力(Bar),脉冲清灰压力(Bar),基材加热监控用PT100(℃),基材加热PT100偏差(℃),预涂料钝化压力(Bar),喷水压力(Bar),气动蝶阀压力(Bar),循环气体实时流量(m3/h),风机转速(%),净气室压力(mBar),落粉轴角度(°),落粉轴扭矩(%),储粉桶物位计(mm),成形室氧含量(%),过滤器氧含量(%),灰桶料位(%),预涂料剩余重量(g),预涂料蝶阀状态()
258,163196,2025-05-31 07:21:14,13.704427,34.288193,51.900002,4.294705,5.601494,1.592632,1,1,544.999,11.640624,47.832,-14.017646,1,1,6.451823,0,4.332321,4.315683,51.799999,0.100002,5.141782,0,5.141782,473.931122,45.995438,5.117188,5.565,-17.851561,179,0.001,0.001,0,0,1
258,163197,2025-05-31 07:21:14,13.704427,34.288193,51.900002,4.294705,5.60065,1.58715,1,1,534.462,-50.292965,48.141,10.307986,1,1,6.451823,0,4.332321,4.315683,51.799999,0.100002,5.141782,0,5.141782,475.62323,45.995438,5.069443,5.565,-17.851561,179,0.001,0.001,0,0,1
258,163198,2025-05-31 07:21:15,13.760851,34.288193,51.900002,4.293258,5.605699,1.604545,1,1,431.132,-49.492184,48.332,-3.709659,1,1,6.451823,0,4.332321,4.315683,51.799999,0.100002,5.142506,0,5.142506,477.297699,45.995438,5.017361,5.565,-17.929686,179,0.001,0.001,0,0,1
258,163199,2025-05-31 07:21:15,13.634983,34.288193,51.900002,4.296152,5.609613,1.609847,1,1,328.716,-44.531246,48.332,-10.338394,1,1,6.451099,0,4.333044,4.316406,51.799999,0.100002,5.142506,0,5.142506,477.496765,45.995438,5.082466,5.565,-18.124998,179,0.001,0.001,0,0,1
258,163200,2025-05-31 07:21:16,13.674046,34.288193,51.900002,4.294705,5.604486,1.596056,1,1,204.73,-49.082027,48.332,-9.973509,1,1,6.449653,0,4.332321,4.31713,51.799999,0.100002,5.143952,0,5.143952,476.505249,45.995438,5.039063,5.565,-18.144529,179,0.001,0.001,0,0,1
258,163201,2025-05-31 07:21:16,13.689236,34.288193,51.900002,4.294705,5.602796,1.581741,1,1,102.316,-42.265621,48.332,-9.45659,1,1,6.452546,0,4.333044,4.31713,51.799999,0.100002,5.142506,0,5.142506,476.505249,45.995438,5.03038,5.565,-18.066404,179,0.001,0.001,0,0,1
258,163202,2025-05-31 07:21:17,13.661024,34.288193,51.900002,4.295428,5.601976,1.615796,1,1,-20.02,-24.316404,47.885,-20.737602,1,1,6.451823,0,4.333767,4.316406,51.799999,0.100002,5.143229,0,5.143229,475.62323,45.995438,4.973957,5.565,-17.988279,179,0.001,0.001,0,0,1
258,163203,2025-05-31 07:21:17,13.632813,34.273727,51.900002,4.294705,5.603399,1.616349,1,1,-20.004,-14.160154,47.872,-20.311903,1,1,6.451823,0,4.333767,4.315683,51.799999,0.100002,5.144676,0,5.145399,477.297699,46.095493,5.069443,12.676,-18.164061,179,0.001,0.001,0,0,1
258,163204,2025-05-31 07:21:18,13.732639,34.273727,51.900002,4.296152,5.601889,1.610399,1,1,-19.999,-14.531248,47.872,-14.443344,1,1,6.450376,0,4.333044,4.316406,51.799999,0.100002,5.145399,0,5.145399,477.297699,46.095493,5.021702,102.029,-6.582031,179,0.001,0.001,0,0,1
258,163205,2025-05-31 07:21:19,13.782552,34.273727,51.900002,4.296152,5.605859,1.611813,1,1,-19.999,-14.863279,47.872,-12.558107,1,1,6.450376,0,4.333044,4.316406,51.799999,0.100002,5.144676,0,5.144676,477.297699,46.095493,5.004341,100.908,6.015625,179,0.001,0.001,0,0,1
258,163206,2025-05-31 07:21:19,13.791233,34.273727,51.900002,4.294705,5.620582,1.632305,1,1,-19.999,-15.507811,47.872,-9.091705,1,1,6.451099,0,4.334491,4.316406,51.799999,0.100002,5.144676,0,5.144676,478.709961,46.095493,5.008682,100.574,8.007812,179,0.001,0.001,0,0,1
258,163207,2025-05-31 07:21:20,13.656684,34.273727,51.900002,4.293982,5.616794,1.619457,1,1,38.257,38.554684,47.872,-8.240308,1,1,6.452546,0,4.334491,4.31713,51.799999,0.100002,5.143952,0,5.143952,487.82901,45.995438,5.034721,100.551,6.699218,179,0.001,0.001,0,0,1
258,163208,2025-05-31 07:21:20,13.667535,34.273727,51.900002,4.296152,5.614441,1.61096,1,1,83.861,38.046871,47.872,-8.483564,1,1,6.450376,0,4.333044,4.316406,51.799999,0.100002,5.145399,0,5.145399,488.914642,45.995438,5.069443,100.551,5.3125,179,0.001,0.001,0,0,1
258,163209,2025-05-31 07:21:21,13.654514,34.273727,51.900002,4.294705,5.612614,1.633951,1,1,134.664,35.390621,47.872,-8.149087,1,1,6.451823,0,4.333767,4.315683,51.799999,0.100002,5.145399,0,5.145399,488.914642,45.995438,5.021702,100.555,4.199218,178,0.001,0.001,0,0,1
258,163210,2025-05-31 07:21:21,13.669704,34.259258,51.900002,4.295428,5.621415,1.644929,1,1,188.267,34.257809,47.872,-9.030891,1,1,6.453269,0,4.333767,4.316406,51.799999,0.100002,5.145399,0,5.145399,487.0047,45.995438,5.0,100.555,3.632812,179,0.001,0.001,0,0,1
258,163211,2025-05-31 07:21:22,13.687066,34.259258,51.900002,4.294705,5.623859,1.624948,1,1,230.26,35.351559,47.872,-8.027458,1,1,6.451823,0,4.334491,4.315683,51.799999,0.100002,5.144676,0,5.144676,484.112274,45.995438,5.0,100.559,3.242187,178,0.001,0.001,0,0,1
258,163212,2025-05-31 07:21:22,13.713108,34.259258,51.900002,4.296152,5.618812,1.60638,1,1,281.859,37.207027,47.872,-8.635599,1,1,6.451823,0,4.333767,4.316406,51.799999,0.100002,5.146846,0,5.146846,481.754608,45.995438,4.995659,100.559,2.460937,179,0.001,0.001,0,0,1
258,163213,2025-05-31 07:21:23,13.661024,34.259258,51.900002,4.295428,5.616017,1.611792,1,1,335.461,35.742184,47.872,-7.358504,1,1,6.451099,0,4.334491,4.316406,51.799999,0.100002,5.146122,0,5.146122,480.833923,45.995438,4.995659,100.562,0.898437,179,0.001,0.001,0,0,1
258,163214,2025-05-31 07:21:23,13.630642,34.259258,51.900002,4.294705,5.614394,1.584714,1,1,411.868,36.77734,47.872,-7.29769,1,1,6.449653,0,4.335938,4.316406,51.799999,0.100002,5.146122,0,5.146122,483.831451,45.995438,4.965279,100.562,1.855469,179,0.001,0.001,0,0,1
258,163215,2025-05-31 07:21:24,13.617621,34.244793,51.900002,4.294705,5.611111,1.613863,1,1,463.066,37.031246,47.872,-7.08484,1,1,6.451099,0,4.332321,4.316406,51.799999,0.100002,5.146846,0,5.146846,488.557312,45.895382,5.039063,100.566,0.332031,179,0.001,0.001,0,0,1
258,163216,2025-05-31 07:21:24,13.624132,34.244793,51.900002,4.295428,5.609061,1.605692,1,1,507.072,33.046871,47.872,-7.753795,1,1,6.450376,0,4.334491,4.31496,51.799999,0.100002,5.146122,0,5.146122,488.557312,45.895382,5.056423,100.566,1.699219,179,0.001,0.001,0,0,1
258,163217,2025-05-31 07:21:25,13.59375,34.244793,51.900002,4.294705,5.602622,1.60701,1,1,545.013,14.511717,47.872,-7.540946,1,1,6.450376,0,4.334491,4.316406,51.799999,0.100002,5.148293,0,5.148293,490.084686,45.795334,5.095486,100.566,0.371094,179,0.001,0.001,0,0,1
258,163218,2025-05-31 07:21:25,13.652344,34.244793,51.900002,4.294705,5.60322,1.618281,1,1,545.0,9.921874,47.872,-6.446292,1,1,6.450376,0,4.333767,4.315683,51.799999,0.100002,5.14757,0,5.14757,488.557312,45.795334,5.099827,100.566,1.640625,179,0.001,0.001,0,0,1
258,163219,2025-05-31 07:21:26,13.706597,34.244793,51.900002,4.295428,5.601615,1.612914,1,1,544.998,8.92578,47.872,-5.929373,1,1,6.453993,0,4.335214,4.315683,51.799999,0.100002,5.14757,0,5.14757,488.557312,45.795334,5.099827,100.566,0.996094,179,0.001,0.001,0,0,1
258,163220,2025-05-31 07:21:27,13.702257,34.230324,51.900002,4.295428,5.601851,1.610923,1,1,544.998,11.132812,47.872,-5.716524,1,1,6.451099,0,4.334491,4.31496,51.799999,0.100002,5.148293,0,5.148293,480.791656,45.795334,5.14323,100.566,0.996094,179,0.001,0.001,0,0,1
258,163221,2025-05-31 07:21:27,13.719618,34.230324,51.900002,4.295428,5.598056,1.605761,1,1,544.999,11.230468,47.872,-5.625302,1,1,6.453269,0,4.333767,4.315683,51.799999,0.100002,5.146846,0,5.146846,477.156372,45.795334,5.14323,100.566,1.289062,179,0.001,0.001,0,0,1
258,163222,2025-05-31 07:21:28,13.704427,34.230324,51.900002,4.295428,5.592248,1.603949,1,1,544.999,11.132812,47.872,-5.230011,1,1,6.453269,0,4.333044,4.315683,51.799999,0.100002,5.14757,0,5.14757,477.156372,45.795334,5.138889,100.566,0.644531,179,0.001,0.001,0,0,1
258,163223,2025-05-31 07:21:28,13.730469,34.230324,51.900002,4.295428,5.595166,1.599723,1,1,544.999,10.859374,47.872,-5.351639,1,1,6.451099,0,4.333767,4.31496,51.799999,0.100002,5.148293,0,5.148293,477.156372,45.795334,5.082466,100.566,1.71875,179,0.001,0.001,0,0,1
258,163224,2025-05-31 07:21:29,13.730469,34.230324,51.900002,4.295428,5.598551,1.612765,1,1,544.999,11.210937,47.872,-5.44286,1,1,6.453269,0,4.334491,4.312789,51.799999,0.100002,5.148293,0,5.148293,477.156372,45.795334,5.121529,100.566,0.566406,178,0.001,0.001,0,0,1
258,163225,2025-05-31 07:21:29,13.680555,34.230324,51.900002,4.295428,5.589167,1.597866,1,1,544.999,11.035155,47.872,-5.564488,1,1,6.451823,0,4.334491,4.313513,51.799999,0.100002,5.14757,0,5.14757,470.808228,45.795334,5.147568,100.566,0.332031,178,0.001,0.001,0,0,1
258,163226,2025-05-31 07:21:30,13.734809,34.230324,51.900002,4.294705,5.585835,1.59452,1,1,544.999,11.406249,47.872,-5.65571,1,1,6.451823,0,4.335214,4.314236,51.799999,0.100002,5.149016,0,5.149016,469.834045,45.895382,5.095486,100.566,0.78125,178,0.001,0.001,0,0,1
258,163227,2025-05-31 07:21:30,13.693577,34.230324,51.900002,4.296152,5.585895,1.584057,1,1,544.999,11.386718,47.872,-5.777338,1,1,6.452546,0,4.334491,4.31496,51.799999,0.100002,5.149016,0,5.149016,469.834045,45.895382,5.108505,100.566,1.074219,179,0.001,0.001,0,0,1
258,163228,2025-05-31 07:21:31,13.830296,34.230324,51.900002,4.294705,5.583035,1.604011,1,1,544.999,11.171874,47.872,-5.412453,1,1,6.451099,0,4.334491,4.314236,51.799999,0.100002,5.149016,0,5.149016,470.340179,45.995438,5.095486,100.566,1.796875,179,0.001,0.001,0,0,1
258,163229,2025-05-31 07:21:31,13.695746,34.230324,51.900002,4.293982,5.585321,1.614268,1,1,544.999,11.289062,47.872,-5.017162,1,1,6.451823,0,4.335938,4.31496,51.799999,0.100002,5.149016,0,5.149016,480.149841,45.895382,5.091145,100.566,0.429687,178,0.001,0.001,0,0,1
258,163230,2025-05-31 07:21:32,13.715278,34.230324,51.900002,4.295428,5.582685,1.588315,1,1,544.998,11.523437,47.872,-5.017162,1,1,6.450376,0,4.333767,4.312789,51.799999,0.100002,5.149016,0,5.149016,482.310455,45.895382,5.12587,100.566,1.777344,179,0.001,0.001,0,0,1
