层数,序号,时间,中效滤芯阻力(mBar),高效滤芯阻力(mBar),尘气室蝶阀状态(),净气室蝶阀状态(),刮刀位置(mm),刮刀扭矩(%),加工平台位置(mm),加工平台扭矩(%),卸灰蝶阀状态(),过滤器安全门锁(),压缩空气压力(Bar),环境氧含量(%),过滤器气源压力(Bar),脉冲清灰压力(Bar),成形室压力(mBar),成形室温度(℃),加热板温度(℃),氩气压力(Bar),成形室氧含量监控用氧传感器(%),成形室氧含量偏差(%),基材加热监控用PT100(℃),基材加热PT100偏差(℃),气动蝶阀压力(Bar),循环气体实时流量(m3/h),风机转速(%),净气室压力(mBar),落粉轴角度(°),落粉轴扭矩(%),储粉桶物位计(mm),成形室氧含量(%),预涂料剩余重量(g),预涂料蝶阀状态(),预涂料钝化压力(Bar),喷水压力(Bar),过滤器氧含量(%),灰桶料位(%)
10,2333,2025-05-04 09:30:08,5.150183,2.280049,1,1,544.999,11.015624,42.042,-13.743982,1,1,4.625289,0.067274,5.451389,4.979745,9.270833,33.260994,31.299999,5.484664,0.0115,0,30.4,0.9,4.573206,452.128448,43.594143,1.623264,113.999,0.605469,187,0.0129,0,1,4.573206,0.052083,0.0129,0
10,2334,2025-05-04 09:30:08,5.144347,2.274485,1,1,544.999,10.820312,42.042,-13.56154,1,1,4.625289,0.067274,5.450665,4.979745,9.240452,33.260994,31.299999,5.487558,0.0115,0,30.4,0.9,4.573206,452.128448,43.594143,1.618923,113.999,0.527344,187,0.0129,0,1,4.573206,0.052083,0.0129,0
10,2335,2025-05-04 09:30:09,5.143892,2.272184,1,1,544.999,10.742187,42.042,-13.591947,1,1,4.625289,0.067274,5.450665,4.979745,9.240452,33.260994,31.299999,5.487558,0.0113,0,30.4,0.9,4.573929,452.128448,43.594143,1.618923,113.999,1.992187,187,0.0128,0,1,4.573929,0.052083,0.0128,0
10,2336,2025-05-04 09:30:09,5.138996,2.293621,1,1,544.999,10.820312,42.042,-13.804796,1,1,4.626013,0.067274,5.451389,4.979745,9.240452,33.260994,31.299999,5.486111,0.0113,0,30.4,0.9,4.573206,451.815247,43.499973,1.627604,113.999,1.992187,187,0.0128,0,1,4.573929,0.052083,0.0129,0
10,2337,2025-05-04 09:30:10,5.133909,2.290434,1,1,534.828,-51.93359,42.542,6.172629,1,1,4.626736,0.067274,5.450665,4.979745,9.251302,33.260994,31.299999,5.485388,0.0113,0,30.4,0.9,4.573206,453.170563,43.499973,1.605904,113.999,2.03125,186,0.0129,0,1,4.573206,0.052083,0.0129,0
10,2338,2025-05-04 09:30:10,5.127942,2.273137,1,1,362.692,-42.050777,42.542,-5.868559,1,1,4.62746,0.067274,5.450665,4.979745,9.188368,33.260994,31.299999,5.484664,0.0113,0,30.4,0.9,4.573206,453.170563,43.499973,1.605904,113.999,1.894531,187,0.0129,0,1,4.573929,0.052083,0.0129,0
10,2339,2025-05-04 09:30:11,5.124549,2.268681,1,1,281.884,-41.46484,42.542,-7.571353,1,1,4.625289,0.067274,5.449942,4.979745,9.164496,33.260994,31.299999,5.484664,0.0113,0,30.4,0.9,4.573206,453.170563,43.499973,1.575521,113.999,2.011719,186,0.0129,0,1,4.573206,0.052083,0.0129,0
10,2340,2025-05-04 09:30:11,5.120187,2.261126,1,1,193.887,-41.347652,42.542,-6.750363,1,1,4.626013,0.067274,5.449942,4.979745,9.181858,33.260994,31.299999,5.484664,0.0113,0,30.4,0.9,4.573206,453.170563,43.499973,1.579861,113.999,0.507812,186,0.0128,0,1,4.573206,0.052083,0.0128,0
10,2341,2025-05-04 09:30:12,5.119842,2.262959,1,1,113.877,-39.257809,42.542,-6.932805,1,1,4.626013,0.067274,5.449942,4.979745,9.233941,33.260994,31.299999,5.483218,0.0113,0,30.4,0.9,4.573206,453.170563,43.499973,1.575521,113.999,0.449219,186,0.0129,0,1,4.573206,0.052083,0.0129,0
10,2342,2025-05-04 09:30:12,5.119977,2.271202,1,1,31.475,-39.843746,42.402,-7.145655,1,1,4.626736,0.067274,5.449942,4.979745,9.153646,33.260994,31.299999,5.483218,0.0113,0,30.4,0.9,4.573206,453.03653,43.499973,1.601563,113.999,1.25,186,0.0129,0,1,4.573206,0.052083,0.0129,0
10,2343,2025-05-04 09:30:13,5.117225,2.27084,1,1,-10.02,-16.328123,42.082,-13.044621,1,1,4.626736,0.067274,5.449942,4.979745,9.201389,33.246529,31.299999,5.483941,0.0113,0,30.4,0.9,4.573206,453.03653,43.499973,1.588541,113.999,1.171875,187,0.0129,0,1,4.573206,0.052083,0.0129,0
10,2344,2025-05-04 09:30:13,5.115548,2.256745,1,1,-10.004,-11.230468,42.082,-5.260418,1,1,4.626013,0.067274,5.449942,4.979745,9.166667,33.246529,31.299999,5.484664,0.0111,0,30.4,0.9,4.573206,451.815247,43.399918,1.597221,118.184,-12.617187,187,0.0129,0,1,4.573206,0.052083,0.0129,0
10,2345,2025-05-04 09:30:14,5.113843,2.242881,1,1,-9.999,-11.367187,42.082,-3.861694,1,1,4.62746,0.067274,5.452836,4.979745,9.131945,33.246529,31.299999,5.485388,0.0111,0,30.4,0.9,4.573206,450.164948,43.399918,1.614584,184.067,-9.941405,187,0.0129,0,1,4.573206,0.052083,0.0129,0
10,2346,2025-05-04 09:30:14,5.113876,2.242117,1,1,8.452,32.343746,42.082,-3.588031,1,1,4.62746,0.067274,5.455006,4.979745,9.173177,33.246529,31.299999,5.489728,0.0111,0,30.4,0.9,4.573206,449.660309,43.399918,1.610243,184.059,-6.855468,187,0.0129,0,1,4.573206,0.052083,0.0129,0
10,2347,2025-05-04 09:30:15,5.109565,2.233127,1,1,40.499,32.343746,42.082,-3.679252,1,1,4.62746,0.067274,5.455006,4.979745,9.142796,33.246529,31.4,5.489728,0.0111,0,30.4,1.0,4.573206,447.423889,43.399918,1.623264,184.044,-4.121093,187,0.0129,0,1,4.573206,0.052083,0.0129,0
10,2348,2025-05-04 09:30:15,5.107583,2.251464,1,1,103.693,28.281246,42.082,-4.743498,1,1,4.626013,0.067274,5.455006,4.979745,9.21875,33.246529,31.4,5.489005,0.0111,0,30.4,1.0,4.573206,445.489288,43.494087,1.614584,184.013,-3.222656,186,0.0129,0,1,4.573206,0.052083,0.0129,0
10,2349,2025-05-04 09:30:16,5.109396,2.25696,1,1,144.9,29.921871,42.082,-4.62187,1,1,4.626736,0.067274,5.455006,4.979745,9.251302,33.246529,31.4,5.489728,0.0111,0,30.4,1.0,4.573206,445.489288,43.494087,1.601563,184.002,-2.636719,186,0.0129,0,1,4.573206,0.052083,0.0129,0
10,2350,2025-05-04 09:30:16,5.108161,2.247174,1,1,183.303,27.070311,42.082,-4.500242,1,1,4.626736,0.067274,5.454282,4.979745,9.251302,33.246529,31.4,5.488281,0.0111,0,30.4,1.0,4.573206,444.142548,43.494087,1.588541,183.994,-1.621094,187,0.0129,0,1,4.573206,0.052083,0.0129,0
10,2351,2025-05-04 09:30:17,5.106972,2.234195,1,1,231.694,30.273434,42.082,-4.530649,1,1,4.625289,0.067274,5.454282,4.979745,9.229601,33.232059,31.4,5.489005,0.0111,0,30.4,1.0,4.573206,442.300781,43.499973,1.579861,183.99,-3.378906,187,0.0129,0,1,4.573206,0.052083,0.0129,0
10,2352,2025-05-04 09:30:17,5.110606,2.257486,1,1,328.488,31.386715,42.082,-4.409021,1,1,4.62746,0.067274,5.453559,4.979745,9.194879,33.232059,31.4,5.489728,0.0111,0,30.5,0.9,4.573206,442.300781,43.499973,1.540798,183.994,-3.984375,187,0.0129,0,1,4.573206,0.052083,0.0129,0
10,2353,2025-05-04 09:30:18,5.110082,2.256056,1,1,360.098,35.488277,42.082,-4.256986,1,1,4.626013,0.067274,5.453559,4.979745,9.171007,33.232059,31.4,5.488281,0.0109,0,30.5,0.9,4.573206,442.74942,43.594143,1.540798,183.994,-4.296875,186,0.0129,0,1,4.573206,0.052083,0.0129,0
