序号,时间,0#AD转换器电压[X轴](V),0#AD转换器电压[Y轴](V),0#AGC电流[X轴](mA),0#AGC电流[Y轴](mA),0#DSP核心电压[X轴](V),0#DSP核心电压[Y轴](V),0#DSP端口电压[X轴](V),0#DSP端口电压[Y轴](V),0#模拟电压[X轴](V),0#模拟电压[Y轴](V),0#伺服温度[X轴](℃),0#伺服温度[Y轴](℃),0#输出电流[X轴](mA),0#输出电流[Y轴](mA),0#振镜温度[X轴](℃),0#振镜温度[Y轴](℃),0#功率[X轴](W),0#功率[Y轴](W)
168264,2025/6/5 14:08:05,5.01,5.01,50,50,1.89,1.89,3.25,3.25,9.0,9.02,61.1,60.9,10,4,50.7,50.5,6.29,6.25
168265,2025/6/5 14:08:06,5.01,5.01,50,50,1.88,1.89,3.25,3.25,9.01,9.01,61.1,60.9,-5,11,50.7,50.6,6.28,6.24
168266,2025/6/5 14:08:06,5.01,5.01,50,50,1.89,1.89,3.25,3.26,9.01,9.04,61.1,61.0,-18,18,50.7,50.6,6.29,6.24
168267,2025/6/5 14:08:07,5.01,5.01,50,50,1.89,1.89,3.25,3.25,9.02,8.99,61.1,61.0,-20,0,50.7,50.6,6.28,6.25
168268,2025/6/5 14:08:08,5.01,5.0,50,50,1.89,1.89,3.25,3.25,9.0,9.01,61.1,60.9,18,-18,50.7,50.6,6.29,6.24
168269,2025/6/5 14:08:08,5.01,5.01,50,50,1.89,1.89,3.25,3.25,9.01,9.0,61.1,60.9,-3,-5,50.7,50.6,6.29,6.25
168270,2025/6/5 14:08:09,5.01,5.01,50,50,1.89,1.9,3.25,3.25,9.01,9.0,61.1,60.9,23,9,50.7,50.6,6.28,6.25
168271,2025/6/5 14:08:09,5.01,5.01,50,49,1.89,1.89,3.26,3.25,9.01,9.0,61.1,60.9,-14,-2,50.7,50.6,6.28,6.26
168272,2025/6/5 14:08:10,5.01,5.01,50,50,1.89,1.89,3.25,3.25,9.01,9.01,61.1,60.9,-3,-6,50.7,50.6,6.29,6.25
168273,2025/6/5 14:08:11,5.0,5.0,50,49,1.89,1.89,3.25,3.25,9.02,8.99,61.1,61.0,-15,0,50.7,50.6,6.26,6.24
168274,2025/6/5 14:08:12,5.01,5.01,50,50,1.89,1.89,3.25,3.25,9.0,9.01,61.1,60.9,11,-27,50.7,50.6,6.28,6.25
168275,2025/6/5 14:08:12,5.01,5.0,50,50,1.89,1.89,3.25,3.25,9.01,9.01,61.2,61.0,0,20,50.7,50.6,6.29,6.25
168276,2025/6/5 14:08:13,5.01,5.01,50,50,1.89,1.89,3.25,3.25,9.0,9.0,61.2,60.9,-9,7,50.7,50.6,6.26,6.24
168277,2025/6/5 14:08:14,5.01,5.01,50,50,1.89,1.89,3.25,3.25,9.0,9.0,61.1,60.9,8,8,50.7,50.6,6.28,6.24
168278,2025/6/5 14:08:14,5.01,5.01,50,50,1.89,1.89,3.25,3.25,9.01,8.99,61.2,61.0,-90,2,50.7,50.6,6.3,6.24
168279,2025/6/5 14:08:15,5.01,5.01,50,50,1.89,1.89,3.25,3.25,9.01,9.0,61.1,61.0,1,-20,50.7,50.6,6.29,6.24
168280,2025/6/5 14:08:16,5.01,5.01,50,50,1.89,1.89,3.25,3.25,9.0,9.0,61.2,60.9,-36,46,50.7,50.5,6.29,6.24
168281,2025/6/5 14:08:16,5.01,5.01,50,50,1.89,1.89,3.25,3.25,9.01,9.0,61.1,60.9,15,30,50.7,50.6,6.29,6.25
168282,2025/6/5 14:08:17,5.01,5.01,50,50,1.89,1.89,3.25,3.25,9.01,9.0,61.2,60.9,-1,-1,50.7,50.6,6.3,6.24
168283,2025/6/5 14:08:17,5.01,5.01,50,50,1.89,1.89,3.24,3.25,9.0,9.01,61.2,60.9,22,-2,50.7,50.5,6.27,6.24
168284,2025/6/5 14:08:18,5.01,5.0,50,50,1.89,1.89,3.25,3.25,9.01,9.0,61.1,60.9,-34,20,50.7,50.6,6.34,6.24
168285,2025/6/5 14:08:19,5.01,5.0,50,50,1.88,1.89,3.25,3.25,9.01,9.01,61.1,61.0,14,13,50.7,50.6,6.31,6.24
168286,2025/6/5 14:08:19,5.01,5.0,50,50,1.89,1.89,3.24,3.25,9.01,9.0,61.1,61.0,-21,-1,50.7,50.6,6.28,6.25
168287,2025/6/5 14:08:20,5.0,5.01,50,50,1.89,1.89,3.25,3.25,9.01,9.0,61.1,61.0,-10,-7,50.7,50.6,6.28,6.25
168288,2025/6/5 14:08:21,5.01,5.01,50,50,1.89,1.89,3.25,3.25,9.02,9.0,61.1,61.0,9,8,50.7,50.6,6.29,6.24
168289,2025/6/5 14:08:21,5.0,5.01,50,50,1.89,1.89,3.25,3.25,9.01,9.0,61.1,60.9,8,-21,50.7,50.6,6.29,6.25
168290,2025/6/5 14:08:22,5.01,5.01,50,50,1.89,1.89,3.25,3.25,9.03,9.0,61.1,60.9,-44,-5,50.6,50.6,6.29,6.24
168291,2025/6/5 14:08:23,5.01,5.01,50,49,1.89,1.89,3.25,3.25,9.01,9.0,61.1,61.0,-25,-22,50.7,50.6,6.32,6.24
168292,2025/6/5 14:08:23,5.01,5.01,50,49,1.89,1.89,3.25,3.25,9.01,9.0,61.1,61.0,37,-41,50.7,50.6,6.29,6.26
168293,2025/6/5 14:08:24,5.01,5.01,50,50,1.89,1.89,3.25,3.25,9.01,9.0,61.1,61.0,16,407,50.6,50.6,6.28,6.25
168294,2025/6/5 14:08:24,5.01,5.01,50,50,1.89,1.89,3.25,3.25,9.02,9.0,61.1,61.0,-2,5,50.6,50.6,6.29,6.26
168295,2025/6/5 14:08:25,5.01,5.01,50,50,1.89,1.89,3.25,3.24,9.01,9.0,61.1,61.0,-47,10,50.6,50.6,6.29,6.24
168296,2025/6/5 14:08:26,5.01,5.01,50,50,1.89,1.89,3.26,3.25,9.0,9.0,61.0,60.9,-7,-49,50.6,50.6,6.29,6.26
168297,2025/6/5 14:08:27,5.01,5.01,50,50,1.89,1.89,3.25,3.25,9.0,9.01,61.0,60.9,7,43,50.6,50.6,6.28,6.23
168298,2025/6/5 14:08:27,5.01,5.01,50,50,1.89,1.89,3.25,3.25,9.01,9.0,61.1,61.0,-59,16,50.7,50.6,6.29,6.26
168299,2025/6/5 14:08:28,5.01,5.01,50,50,1.89,1.89,3.25,3.25,9.01,9.0,61.1,61.0,-7,37,50.7,50.6,6.29,6.24
168300,2025/6/5 14:08:29,5.01,5.01,50,50,1.89,1.89,3.25,3.25,9.01,9.01,61.1,60.9,-30,-5,50.7,50.6,6.3,6.24
168301,2025/6/5 14:08:29,5.01,5.01,50,50,1.89,1.89,3.25,3.25,9.01,9.02,61.1,60.9,641,-72,50.6,50.5,6.29,6.27
168302,2025/6/5 14:08:30,5.01,5.0,50,50,1.89,1.89,3.25,3.25,9.01,9.0,61.1,60.9,163,-144,50.6,50.6,6.27,6.25
168303,2025/6/5 14:08:30,5.01,5.01,50,50,1.89,1.89,3.25,3.25,9.01,8.99,61.1,61.0,64,-123,50.7,50.6,6.32,6.26
168304,2025/6/5 14:08:31,5.01,5.01,50,50,1.89,1.89,3.25,3.25,9.01,9.03,61.1,60.9,-102,49,50.7,50.6,6.29,6.25
168305,2025/6/5 14:08:32,5.01,5.01,50,50,1.89,1.89,3.26,3.25,9.0,9.0,61.1,61.0,-2,164,50.6,50.6,6.29,6.24
168306,2025/6/5 14:08:32,5.01,5.0,50,50,1.89,1.89,3.25,3.25,9.02,9.0,61.2,61.0,-223,235,50.7,50.6,6.27,6.25
168307,2025/6/5 14:08:33,5.01,5.01,50,50,1.88,1.89,3.25,3.25,9.01,9.01,61.2,60.9,-8,-25,50.7,50.6,6.3,6.26
168308,2025/6/5 14:08:34,5.01,5.02,50,50,1.89,1.89,3.26,3.25,9.01,9.0,61.1,60.9,-21,-6,50.7,50.6,6.29,6.26
168309,2025/6/5 14:08:34,5.01,5.01,50,50,1.89,1.89,3.25,3.25,9.0,9.0,61.2,61.0,2,0,50.7,50.6,6.34,6.27
168310,2025/6/5 14:08:35,5.01,5.01,50,50,1.89,1.89,3.25,3.25,9.01,9.0,61.2,61.0,-202,-45,50.7,50.6,6.29,6.27
168311,2025/6/5 14:08:35,5.01,5.01,50,50,1.89,1.89,3.25,3.25,9.02,9.01,61.2,61.0,-33,2,50.7,50.6,6.25,6.28
168312,2025/6/5 14:08:36,5.02,5.02,50,50,1.89,1.89,3.25,3.25,9.0,9.0,61.2,61.0,-8,8,50.7,50.6,6.3,6.25
168313,2025/6/5 14:08:37,5.01,5.01,50,50,1.89,1.89,3.25,3.25,9.0,9.0,61.2,61.0,-4,29,50.7,50.6,6.25,6.26
168314,2025/6/5 14:08:37,5.01,5.01,50,50,1.89,1.89,3.25,3.25,9.01,9.0,61.2,60.9,-34,4,50.7,50.6,6.28,6.26
168315,2025/6/5 14:08:38,5.01,5.01,50,50,1.89,1.89,3.25,3.25,9.01,9.01,61.2,60.9,-32,-5,50.7,50.6,6.27,6.26
168316,2025/6/5 14:08:39,5.01,5.01,50,50,1.89,1.89,3.25,3.25,9.0,9.02,61.2,61.0,-19,-8,50.7,50.6,6.28,6.25
168317,2025/6/5 14:08:39,5.01,5.01,50,50,1.89,1.89,3.25,3.25,9.01,9.0,61.2,61.0,93,108,50.7,50.6,6.29,6.25
168318,2025/6/5 14:08:40,5.01,4.99,50,50,1.89,1.89,3.25,3.25,9.0,9.01,61.1,60.9,-227,200,50.7,50.6,6.29,6.27
168319,2025/6/5 14:08:40,5.01,5.0,50,50,1.89,1.9,3.24,3.25,9.01,9.0,61.1,61.0,-236,25,50.7,50.6,6.28,6.24
168320,2025/6/5 14:08:41,5.01,5.0,50,50,1.89,1.89,3.25,3.26,9.01,9.0,61.1,61.0,-20,-12,50.7,50.6,6.3,6.26
168321,2025/6/5 14:08:42,5.01,5.0,50,50,1.89,1.89,3.25,3.25,9.0,9.0,61.2,61.0,-4,10,50.7,50.6,6.27,6.26
168322,2025/6/5 14:08:42,5.01,5.0,50,49,1.89,1.89,3.25,3.25,9.01,9.01,61.1,61.0,150,-146,50.7,50.6,6.29,6.24
168323,2025/6/5 14:08:43,5.01,5.01,50,50,1.89,1.9,3.25,3.25,9.02,9.0,61.1,61.0,-31,25,50.7,50.6,6.29,6.3
168324,2025/6/5 14:08:43,5.01,5.0,50,50,1.89,1.89,3.25,3.25,9.01,9.01,61.1,61.0,-14,8,50.7,50.6,6.28,6.24
168325,2025/6/5 14:08:44,5.01,5.01,50,50,1.89,1.89,3.25,3.25,9.0,9.0,61.1,61.0,-1,-23,50.7,50.6,6.28,6.23
168326,2025/6/5 14:08:45,5.0,5.0,50,50,1.89,1.89,3.25,3.25,9.0,9.0,61.2,61.0,-5,-21,50.7,50.6,6.23,6.24
168327,2025/6/5 14:08:45,5.01,5.0,50,50,1.88,1.89,3.25,3.25,9.01,9.01,61.1,61.0,-9,5,50.7,50.6,6.3,6.26
168328,2025/6/5 14:08:46,5.01,5.01,50,50,1.89,1.89,3.25,3.25,9.0,9.0,61.1,61.0,245,-6,50.7,50.6,6.3,6.24
168329,2025/6/5 14:08:46,5.01,5.0,50,50,1.89,1.89,3.25,3.25,9.01,9.01,61.1,61.0,-332,54,50.7,50.6,6.3,6.25
168330,2025/6/5 14:08:47,5.0,5.01,50,50,1.89,1.89,3.25,3.25,9.0,9.0,61.1,60.9,128,115,50.7,50.6,6.3,6.25
168331,2025/6/5 14:08:48,5.01,5.02,50,50,1.89,1.89,3.25,3.25,9.0,9.0,61.1,60.9,262,-36,50.7,50.6,6.3,6.25
168332,2025/6/5 14:08:48,5.01,5.0,50,50,1.88,1.89,3.25,3.25,9.01,9.0,61.1,61.0,-78,-33,50.7,50.6,6.29,6.25
168333,2025/6/5 14:08:49,5.01,5.01,50,50,1.89,1.89,3.25,3.25,9.01,9.01,61.1,61.0,-30,3,50.7,50.6,6.31,6.26
168334,2025/6/5 14:08:49,5.01,5.01,50,50,1.89,1.89,3.25,3.25,9.01,9.02,61.1,60.9,-35,-23,50.7,50.6,6.29,6.22
168335,2025/6/5 14:08:50,5.01,5.01,50,50,1.89,1.89,3.25,3.25,9.01,9.0,61.1,60.9,-12,10,50.7,50.6,6.29,6.24
168336,2025/6/5 14:08:51,5.01,5.01,50,50,1.89,1.89,3.25,3.25,9.01,9.0,61.1,61.0,-9,15,50.7,50.6,6.29,6.24
168337,2025/6/5 14:08:51,5.01,5.02,50,50,1.89,1.89,3.25,3.25,9.01,9.0,61.1,61.0,-17,0,50.7,50.6,6.3,6.25
168338,2025/6/5 14:08:52,5.01,5.0,50,50,1.89,1.89,3.25,3.24,9.0,9.04,61.1,61.0,-43,-44,50.7,50.6,6.31,6.26
168339,2025/6/5 14:08:52,5.01,5.01,50,50,1.89,1.89,3.25,3.25,9.01,9.0,61.1,60.9,18,-23,50.7,50.6,6.29,6.25
168340,2025/6/5 14:08:53,5.01,5.0,50,50,1.89,1.89,3.25,3.25,9.01,9.0,61.1,61.0,330,-11,50.7,50.6,6.3,6.24
168341,2025/6/5 14:08:54,5.01,5.01,50,49,1.89,1.89,3.25,3.25,9.01,9.01,61.1,61.0,-35,2,50.6,50.6,6.31,6.28
168342,2025/6/5 14:08:54,5.01,5.01,50,50,1.89,1.89,3.25,3.25,9.01,9.01,61.1,61.0,-17,41,50.7,50.6,6.31,6.24
168343,2025/6/5 14:08:55,5.01,5.01,50,50,1.89,1.89,3.25,3.25,9.02,9.0,61.1,61.0,-23,16,50.7,50.6,6.3,6.26
168344,2025/6/5 14:08:56,5.01,5.01,50,50,1.89,1.89,3.25,3.25,9.0,9.01,61.1,61.0,64,-80,50.7,50.6,6.3,6.25
168345,2025/6/5 14:08:56,5.01,5.01,50,50,1.89,1.89,3.26,3.25,9.01,9.0,61.1,61.0,-78,-11,50.6,50.6,6.31,6.25
168346,2025/6/5 14:08:57,5.01,5.01,50,50,1.89,1.89,3.25,3.25,9.01,9.02,61.2,61.0,-21,61,50.7,50.6,6.29,6.28
168347,2025/6/5 14:08:58,5.01,5.01,50,50,1.89,1.89,3.25,3.25,9.0,9.01,61.2,61.0,-24,-14,50.7,50.6,6.29,6.26
168348,2025/6/5 14:08:58,5.01,5.01,50,50,1.89,1.9,3.25,3.25,9.01,9.02,61.1,61.0,25,8,50.7,50.6,6.3,6.24
168349,2025/6/5 14:08:59,5.01,5.01,50,50,1.89,1.89,3.25,3.25,9.01,9.0,61.1,61.0,16,6,50.6,50.6,6.31,6.24
168350,2025/6/5 14:09:00,5.01,5.0,50,50,1.89,1.89,3.24,3.25,9.01,8.98,61.1,60.9,10,-28,50.7,50.6,6.29,6.28
168351,2025/6/5 14:09:00,5.01,5.01,50,50,1.89,1.89,3.25,3.25,9.0,9.0,61.1,61.0,-15,-16,50.7,50.6,6.29,6.24
168352,2025/6/5 14:09:01,5.01,5.0,50,50,1.89,1.89,3.25,3.25,9.02,8.99,61.1,61.0,-7,-18,50.6,50.6,6.31,6.25
168353,2025/6/5 14:09:01,5.01,5.0,50,50,1.89,1.89,3.26,3.25,9.01,9.0,61.1,61.0,-15,16,50.6,50.6,6.31,6.24
168354,2025/6/5 14:09:02,5.01,5.01,50,50,1.89,1.89,3.25,3.25,9.02,9.0,61.1,61.0,52,-64,50.6,50.6,6.31,6.25
168355,2025/6/5 14:09:03,5.01,5.0,50,49,1.89,1.89,3.25,3.25,9.02,9.01,61.1,61.0,307,-79,50.6,50.6,6.26,6.25
168356,2025/6/5 14:09:03,5.01,5.01,50,50,1.89,1.89,3.25,3.25,9.01,9.0,61.1,61.0,40,-8,50.7,50.6,6.3,6.25
168357,2025/6/5 14:09:04,5.01,5.01,50,50,1.89,1.89,3.25,3.25,9.01,9.0,61.1,61.0,-269,62,50.7,50.6,6.29,6.24
168358,2025/6/5 14:09:05,5.01,5.0,50,50,1.89,1.89,3.25,3.24,9.01,9.0,61.1,61.0,-13,-27,50.7,50.6,6.29,6.24
168359,2025/6/5 14:09:05,5.01,5.01,50,50,1.89,1.89,3.25,3.25,9.0,9.01,61.1,61.0,-18,-25,50.7,50.6,6.3,6.24
168360,2025/6/5 14:09:06,5.01,5.01,50,50,1.89,1.89,3.25,3.25,9.01,9.0,61.2,61.0,310,-113,50.7,50.6,6.29,6.23
168361,2025/6/5 14:09:06,5.0,5.01,50,50,1.89,1.89,3.25,3.25,9.01,8.99,61.2,61.0,9,-3,50.7,50.6,6.29,6.25
168362,2025/6/5 14:09:07,5.01,5.01,50,50,1.89,1.89,3.25,3.25,9.01,9.0,61.1,61.0,6,14,50.7,50.6,6.3,6.28
168363,2025/6/5 14:09:08,5.01,5.0,50,50,1.89,1.89,3.25,3.25,9.0,9.0,61.1,61.0,14,0,50.7,50.6,6.29,6.24
168364,2025/6/5 14:09:08,5.01,5.0,50,50,1.89,1.89,3.25,3.25,9.02,9.01,61.1,61.0,8,13,50.7,50.6,6.31,6.25
168365,2025/6/5 14:09:09,5.01,5.0,50,50,1.89,1.89,3.25,3.25,9.01,9.01,61.1,61.0,135,113,50.7,50.6,6.3,6.24
168366,2025/6/5 14:09:10,5.01,5.01,50,50,1.89,1.9,3.25,3.25,9.01,9.01,61.1,60.9,-32,1,50.7,50.6,6.28,6.24
168367,2025/6/5 14:09:10,5.01,5.01,50,50,1.89,1.89,3.25,3.25,9.02,9.0,61.1,61.0,0,12,50.7,50.6,6.29,6.24
168368,2025/6/5 14:09:11,5.0,5.02,50,50,1.89,1.89,3.25,3.25,9.0,9.0,61.1,61.0,-7,-14,50.7,50.6,6.29,6.25
168369,2025/6/5 14:09:12,5.01,5.01,50,50,1.89,1.89,3.25,3.25,9.01,9.0,61.1,61.0,-27,38,50.7,50.6,6.29,6.25
168370,2025/6/5 14:09:12,5.01,5.01,50,50,1.89,1.9,3.25,3.25,9.01,9.0,61.2,61.0,-7,56,50.7,50.6,6.28,6.25
168371,2025/6/5 14:09:13,5.01,5.0,50,50,1.89,1.9,3.25,3.25,9.01,9.01,61.1,60.9,-310,6,50.7,50.6,6.29,6.25
168372,2025/6/5 14:09:14,5.01,5.01,50,50,1.89,1.89,3.25,3.25,9.02,9.0,61.1,61.0,11,-18,50.7,50.6,6.35,6.25
168373,2025/6/5 14:09:14,5.01,5.01,50,50,1.89,1.89,3.25,3.25,9.02,9.01,61.1,61.0,-20,95,50.7,50.6,6.26,6.25
168374,2025/6/5 14:09:15,5.01,5.01,50,50,1.89,1.89,3.25,3.25,9.01,9.02,61.2,61.0,-12,14,50.7,50.6,6.29,6.25
