序号,时间,0#AD转换器电压[X轴](V),0#AD转换器电压[Y轴](V),1#振镜温度[X轴](℃),1#振镜温度[Y轴](℃),0#AGC电流[X轴](mA),0#AGC电流[Y轴](mA),0#DSP核心电压[X轴](V),0#DSP核心电压[Y轴](V),0#DSP端口电压[X轴](V),0#DSP端口电压[Y轴](V),0#模拟电压[X轴](V),0#模拟电压[Y轴](V),0#伺服温度[X轴](℃),0#伺服温度[Y轴](℃),0#输出电流[X轴](mA),0#输出电流[Y轴](mA),0#振镜温度[X轴](℃),0#振镜温度[Y轴](℃),0#功率[X轴](W),0#功率[Y轴](W),1#DSP核心电压[X轴](V),1#DSP核心电压[Y轴](V),1#DSP端口电压[X轴](V),1#DSP端口电压[Y轴](V),1#功率[X轴](W),1#功率[Y轴](W),1#伺服温度[X轴](℃),1#伺服温度[Y轴](℃),1#模拟电压[X轴](V),1#模拟电压[Y轴](V),1#AD转换器电压[X轴](V),1#AD转换器电压[Y轴](V),1#输出电流[X轴](mA),1#输出电流[Y轴](mA),1#AGC电流[X轴](mA),1#AGC电流[Y轴](mA)
21312,2025/2/25 11:31:47,5.05,5.05,43.9,44.0,56,47,1.9,1.91,3.31,3.31,9.06,9.06,41.5,44.0,33,-48,43.9,44.0,6.77,6.16,1.88,1.92,3.28,3.35,6.33,6.46,44.2,43.1,9.01,9.16,5.02,5.06,-16,-37,50,51
21313,2025/2/25 11:31:48,5.05,5.05,43.9,44.0,56,47,1.9,1.91,3.31,3.31,9.05,9.07,41.5,44.0,-31,-91,44.0,44.0,6.71,6.16,1.89,1.92,3.28,3.36,6.34,6.47,44.2,43.1,9.0,9.16,5.02,5.07,-12,-35,50,51
21314,2025/2/25 11:31:48,5.05,5.05,43.9,43.9,56,47,1.9,1.91,3.31,3.31,9.06,9.06,41.5,44.0,-24,-5,44.0,44.0,6.75,6.17,1.89,1.93,3.28,3.35,6.33,6.47,44.2,43.1,9.0,9.16,5.02,5.06,0,26,50,51
21315,2025/2/25 11:31:49,5.05,5.06,43.9,44.0,56,47,1.9,1.91,3.31,3.31,9.05,9.07,41.5,44.0,-38,-116,44.0,43.9,6.75,6.17,1.89,1.92,3.28,3.35,6.34,6.45,44.2,43.1,9.01,9.16,5.02,5.06,-14,44,50,51
21316,2025/2/25 11:31:49,5.05,5.05,44.0,44.0,56,47,1.9,1.91,3.31,3.31,9.06,9.08,41.5,44.0,37,-82,43.9,43.9,6.73,6.16,1.88,1.92,3.28,3.35,6.32,6.45,44.2,43.1,9.01,9.16,5.02,5.06,-2,20,51,51
21317,2025/2/25 11:31:50,5.05,5.05,44.0,44.0,55,47,1.9,1.91,3.32,3.31,9.06,9.07,41.5,44.0,19,-45,43.9,43.9,6.74,6.18,1.88,1.92,3.28,3.35,6.34,6.47,44.2,43.1,9.0,9.16,5.02,5.06,5,47,50,51
21318,2025/2/25 11:31:50,5.05,5.06,44.0,44.0,56,47,1.9,1.91,3.31,3.31,9.06,9.06,41.5,44.0,-22,-30,44.0,44.0,6.74,6.16,1.89,1.92,3.28,3.35,6.34,6.47,44.2,43.1,9.0,9.13,5.02,5.06,11,37,50,51
21319,2025/2/25 11:31:51,5.05,5.05,44.0,44.0,56,47,1.9,1.91,3.31,3.31,9.07,9.06,41.5,44.0,-34,36,43.9,43.9,6.75,6.11,1.88,1.92,3.28,3.35,6.34,6.46,44.2,43.1,9.0,9.16,5.02,5.06,29,-9,50,51
21320,2025/2/25 11:31:52,5.05,5.05,43.9,44.0,56,47,1.9,1.91,3.31,3.31,9.06,9.07,41.5,44.0,26,9,43.9,43.9,6.75,6.17,1.89,1.93,3.28,3.35,6.34,6.46,44.1,43.1,9.01,9.16,5.02,5.06,21,16,50,51
21321,2025/2/25 11:31:52,5.05,5.05,43.9,44.0,56,47,1.9,1.91,3.31,3.31,9.06,9.06,41.5,44.0,83,2,43.9,43.9,6.76,6.16,1.89,1.92,3.28,3.35,6.36,6.48,44.1,43.1,9.0,9.16,5.02,5.06,-14,10,50,51
21322,2025/2/25 11:31:53,5.05,5.05,44.0,44.0,56,47,1.9,1.91,3.31,3.31,9.06,9.06,41.5,44.0,48,-25,43.9,43.9,6.75,6.16,1.88,1.92,3.28,3.35,6.35,6.46,44.1,43.1,9.01,9.16,5.02,5.07,-26,-39,50,51
21323,2025/2/25 11:31:53,5.05,5.05,44.0,44.0,56,47,1.9,1.91,3.31,3.31,9.06,9.07,41.5,44.0,-125,4,43.9,43.9,6.75,6.17,1.89,1.92,3.28,3.35,6.33,6.47,44.1,43.1,9.0,9.15,5.02,5.07,2,28,50,51
21324,2025/2/25 11:31:54,5.05,5.05,43.9,44.0,56,47,1.9,1.91,3.31,3.31,9.06,9.07,41.5,44.0,68,-29,43.9,43.9,6.75,6.19,1.88,1.92,3.28,3.35,6.33,6.46,44.1,43.1,9.0,9.16,5.02,5.06,29,-86,50,51
21325,2025/2/25 11:31:54,5.05,5.05,43.9,44.0,56,47,1.9,1.91,3.31,3.31,9.08,9.07,41.5,44.0,21,62,43.9,43.9,6.76,6.16,1.89,1.92,3.28,3.35,6.35,6.45,44.1,43.0,9.0,9.17,5.02,5.06,-8,21,50,51
21326,2025/2/25 11:31:55,5.05,5.05,44.0,44.0,56,47,1.9,1.91,3.31,3.31,9.05,9.06,41.5,44.0,-20,-24,43.9,43.9,6.74,6.17,1.89,1.92,3.28,3.35,6.33,6.47,44.1,43.0,9.01,9.17,5.02,5.06,10,53,50,51
21327,2025/2/25 11:31:55,5.05,5.05,44.0,44.0,56,47,1.9,1.91,3.31,3.31,9.07,9.06,41.4,44.0,-66,-36,43.9,44.0,6.73,6.19,1.89,1.92,3.28,3.35,6.34,6.47,44.1,43.0,9.0,9.16,5.01,5.08,-10,-22,50,51
21328,2025/2/25 11:31:56,5.05,5.05,44.0,44.0,56,47,1.9,1.91,3.31,3.31,9.06,9.07,41.4,44.0,-52,-91,43.9,43.9,6.75,6.18,1.89,1.92,3.28,3.35,6.34,6.48,44.1,43.0,9.01,9.16,5.02,5.07,30,36,50,51
21329,2025/2/25 11:31:56,5.05,5.05,43.9,43.9,56,47,1.9,1.91,3.31,3.31,9.06,9.06,41.4,44.0,55,-160,43.9,44.0,6.75,6.16,1.88,1.92,3.28,3.35,6.34,6.46,44.1,43.0,9.0,9.17,5.02,5.06,17,73,50,51
21330,2025/2/25 11:31:57,5.05,5.05,43.9,43.9,56,47,1.9,1.91,3.31,3.31,9.06,9.06,41.4,44.0,-47,26,44.0,44.0,6.76,6.11,1.89,1.92,3.28,3.35,6.32,6.45,44.0,43.0,9.01,9.16,5.02,5.06,-44,-100,50,51
21331,2025/2/25 11:31:57,5.05,5.05,43.9,43.9,56,47,1.9,1.9,3.31,3.31,9.06,9.06,41.4,44.0,65,-90,43.9,44.0,6.74,6.16,1.89,1.92,3.28,3.35,6.33,6.46,44.0,43.0,9.0,9.16,5.03,5.07,4,7,50,51
21332,2025/2/25 11:31:58,5.05,5.05,44.0,43.9,56,47,1.9,1.91,3.31,3.31,9.06,9.06,41.4,44.0,-118,-76,43.9,44.0,6.74,6.18,1.89,1.92,3.28,3.35,6.34,6.45,44.0,43.0,9.01,9.17,5.02,5.07,-2,-30,50,51
21333,2025/2/25 11:31:58,5.05,5.05,44.0,43.9,56,47,1.9,1.91,3.31,3.31,9.06,9.07,41.4,44.0,75,46,43.9,44.0,6.75,6.19,1.89,1.92,3.28,3.35,6.33,6.46,44.0,43.0,8.99,9.17,5.02,5.06,-12,87,50,51
21334,2025/2/25 11:31:59,5.05,5.05,43.9,43.9,56,47,1.9,1.91,3.31,3.31,9.06,9.1,41.4,44.0,6,-48,43.9,44.0,6.75,6.17,1.89,1.92,3.27,3.35,6.34,6.46,44.0,43.0,9.01,9.16,5.02,5.07,16,-6,50,51
21335,2025/2/25 11:31:59,5.05,5.05,44.0,43.9,56,47,1.9,1.91,3.31,3.31,9.06,9.07,41.4,44.0,60,-128,44.0,44.0,6.74,6.18,1.89,1.92,3.27,3.35,6.34,6.48,44.0,43.0,9.01,9.16,5.02,5.07,10,32,50,51
21336,2025/2/25 11:32:00,5.05,5.05,44.0,43.9,56,47,1.9,1.91,3.31,3.31,9.06,9.06,41.4,44.0,18,-28,43.9,44.0,6.75,6.16,1.88,1.92,3.28,3.35,6.33,6.46,44.0,43.0,9.0,9.16,5.02,5.06,-9,12,50,51
