层数,序号,时间,中效滤芯阻力(mbar),高效滤芯阻力(mbar),尘气室蝶阀状态(),净气室蝶阀状态(),刮刀位置(mm),刮刀扭矩(%),加工平台位置(mm),加工平台扭矩(%),卸灰蝶阀状态(),过滤器安全门锁(),压缩空气压力(bar),环境氧含量(%),过滤器气源压力(bar),脉冲清灰压力(bar),成形室压力(mbar),成形室温度(℃),加热板温度(℃),气源压力(bar),气动蝶阀压力(bar),循环气体实时流量(m3/h),风机转速(%),净气室压力(mbar),落粉轴角度(°),落粉轴扭矩(%),储粉桶物位计(mm),成形室氧含量(%)
575,221050,2025-04-11 23:37:24,56.857349,16.016895,1,1,628.0,16.542967,104.672,6.438824,1,1,2.230179,0,4.623119,4.63831,19.483507,35.633682,54.200001,4.675202,4.564526,921.235352,76.999336,-29.982639,287.901,-15.175779,224,0.019842
575,221051,2025-04-11 23:37:24,56.845654,15.863774,1,1,589.696,-46.601559,105.059,0.208827,1,1,2.230179,0,4.623119,4.63831,19.483507,35.633682,54.200001,4.674479,4.564526,923.015869,76.897964,-29.982639,287.901,-14.999998,224,0.019842
575,221052,2025-04-11 23:37:25,56.828018,15.801125,1,1,475.279,-39.492184,105.06,-8.318265,1,1,2.230179,0,4.623119,4.63831,19.507378,35.633682,54.200001,4.674479,4.564526,922.593567,76.897964,-29.982639,287.901,-15.019529,224,0.019929
575,221053,2025-04-11 23:37:25,56.805843,16.023144,1,1,362.484,-40.957027,105.06,-19.107645,1,1,2.230179,0,4.623843,4.639034,19.459635,35.633682,54.200001,4.675202,4.564526,919.395752,76.897964,-29.982639,287.901,-14.960936,224,0.020009
575,221054,2025-04-11 23:37:26,56.767712,15.547091,1,1,271.284,-39.531246,105.06,-20.987087,1,1,2.230179,0,4.623119,4.639034,19.435764,35.633682,54.200001,4.675202,4.564526,916.30957,76.796585,-29.982639,287.901,-14.335936,224,0.02003
575,221055,2025-04-11 23:37:27,56.726177,15.967227,1,1,166.484,-41.093746,105.06,-20.047365,1,1,2.230179,0,4.623843,4.63831,19.435764,35.633682,54.200001,4.675202,4.564526,902.477539,76.796585,-29.982639,287.901,-15.078123,224,0.019944
575,221056,2025-04-11 23:37:27,56.707848,15.758494,1,1,110.48,-36.738277,105.06,-17.785076,1,1,2.230179,0,4.623843,4.63831,19.435764,35.619213,54.200001,4.675202,4.564526,901.669006,76.796585,-29.982639,287.901,-14.921873,224,0.019944
575,221057,2025-04-11 23:37:28,56.658302,15.696862,1,1,-39.866,-30.039059,104.702,-27.356302,1,1,2.230903,0,4.623119,4.639034,19.407553,35.619213,54.200001,4.675202,4.564526,904.546448,76.796585,-29.982639,287.901,-14.746092,224,0.019936
575,221058,2025-04-11 23:37:28,56.616543,15.904546,1,1,-40.005,-25.898436,104.6,-23.179768,1,1,2.230179,0,4.623119,4.63831,19.407553,35.619213,54.200001,4.675202,4.564526,906.136108,76.796585,-29.982639,287.901,-15.078123,224,0.019784
575,221059,2025-04-11 23:37:29,56.595238,16.036381,1,1,-40.002,-24.999998,104.6,-21.056696,1,1,2.230179,0,4.623119,4.63831,19.420572,35.619213,54.200001,4.675202,4.564526,904.664124,76.796585,-29.982639,294.436,-30.878902,224,0.019741
575,221060,2025-04-11 23:37:29,56.578987,16.080173,1,1,-40.0,-23.867186,104.6,-16.810553,1,1,2.230179,0,4.623119,4.639034,19.364149,35.619213,54.200001,4.675202,4.564526,902.756897,76.701553,-29.982639,335.853,-20.292967,224,0.019806
575,221061,2025-04-11 23:37:30,56.54858,16.358212,1,1,-39.999,-24.257811,104.6,-8.353069,1,1,2.230179,0,4.624566,4.639034,19.340279,35.604744,54.200001,4.675202,4.564526,895.96051,76.695213,-29.982639,24.916,-36.445309,223,0.019567
575,221062,2025-04-11 23:37:30,56.547085,16.303345,1,1,-34.631,30.332027,104.6,-7.97022,1,1,2.230179,0,4.623843,4.639034,19.340279,35.604744,54.200001,4.675202,4.564526,895.96051,76.695213,-29.982639,24.922,-35.019527,222,0.019488
575,221063,2025-04-11 23:37:31,56.508133,16.225134,1,1,9.654,31.972652,104.6,-8.840332,1,1,2.230179,0,4.623843,4.639034,19.348959,35.604744,54.200001,4.675202,4.564526,895.96051,76.796585,-29.982639,24.922,-32.226559,221,0.019495
575,221064,2025-04-11 23:37:31,56.496666,16.289843,1,1,19.011,32.949215,104.6,-6.856478,1,1,2.230179,0,4.623843,4.639034,19.348959,35.604744,54.200001,4.675202,4.564526,895.96051,76.796585,-29.982639,24.922,-31.484371,221,0.019495
575,221065,2025-04-11 23:37:32,56.469604,16.179688,1,1,50.696,29.492184,104.6,-10.580554,1,1,2.230179,0,4.623119,4.63831,19.416233,35.590279,54.200001,4.675202,4.564526,895.96051,76.701553,-29.982639,24.922,-30.078121,221,0.019524
