层数,序号,时间,成形室压力(mBar),成形室温度(℃),加热板温度(℃),氩气压力(Bar),中效滤芯阻力(mBar),高效滤芯阻力(mBar),尘气室蝶阀状态(),净气室蝶阀状态(),刮刀位置(mm),刮刀扭矩(%),加工平台位置(mm),加工平台扭矩(%),卸灰蝶阀状态(),预涂料蝶阀状态(),过滤器安全门锁(),过滤器氧含量(%),压缩空气压力(Bar),环境氧含量(%),气体实时流量(m3/h),风机转速(%),成形室氧含量监控用氧传感器(%),成形室氧含量偏差(%),基材加热监控用PT100(℃),基材加热PT100偏差(℃),落粉轴角度(°),落粉轴扭矩(%),储粉桶物位计(mm),成形室氧含量(%),过滤器气源压力(Bar),反吹气包压力(Bar),气动蝶阀压力(Bar),净气室压力(mBar)
2221,328693,2025-06-02 16:56:37,4.37066,47.06308,56.099998,4.824942,21.576319,8.521893,1,1,545.005,15.937498,187.42,-16.693464,1,0,1,0.003262,4.146412,30,668.613098,83.897728,0.001278,0,55.799999,0.299999,45.005,-7.246093,220,0.003262,4.864005,2.217159,4.189091,-26.163195
2221,328694,2025-06-02 16:56:37,4.314236,47.06308,56.099998,4.824942,21.5807,8.488142,1,1,545.005,15.839842,187.42,-17.210384,1,0,1,0.003262,4.146412,30,669.921326,83.897728,0.001278,0,55.799999,0.299999,45.005,-7.109374,220,0.003262,4.864005,2.217882,4.187644,-26.163195
2221,328695,2025-06-02 16:56:38,4.314236,47.06308,56.099998,4.824942,21.589077,8.608479,1,1,545.005,16.093748,187.42,-16.75428,1,0,1,0.003262,4.146412,30,668.930664,83.992897,0.001278,0,55.799999,0.299999,45.005,-6.230468,220,0.003262,4.864005,2.217159,4.188368,-26.210938
2221,328696,2025-06-02 16:56:38,4.123264,47.06308,56.099998,4.824942,21.599331,8.566529,1,1,529.625,-49.785152,187.919,5.321232,1,0,1,0.003262,4.146412,30,651.291443,83.998856,0.001278,0,55.799999,0.299999,45.005,-6.796875,220,0.003262,4.864005,2.215712,4.188368,-26.193577
2221,328697,2025-06-02 16:56:39,4.578993,47.06308,56.099998,4.824942,21.594278,8.591289,1,1,445.093,-37.519527,187.92,2.46297,1,0,1,0.003262,4.146412,30,659.755859,83.998856,0.001301,0,55.799999,0.299999,45.005,-5.527343,220,0.003262,4.864728,2.216435,4.188368,-26.215279
2221,328698,2025-06-02 16:56:39,4.312066,47.06308,56.099998,4.824942,21.602631,8.507192,1,1,217.113,-40.37109,187.92,-8.11868,1,0,1,0.003262,4.146412,30,642.471802,83.998856,0.001301,0,55.799999,0.299999,45.005,-6.679687,220,0.003262,4.862558,2.217882,4.189091,-26.25868
2221,328699,2025-06-02 16:56:40,4.312066,47.06308,56.099998,4.824942,21.602631,8.507192,1,1,217.113,-40.37109,187.92,-8.11868,1,0,1,0.003262,4.146412,30,642.471802,83.998856,0.001301,0,55.799999,0.299999,45.005,-6.679687,220,0.003262,4.862558,2.217882,4.189091,-26.25868
2221,328700,2025-06-02 16:56:40,4.490017,47.048611,56.099998,4.824942,21.627256,8.614118,1,1,117.881,-35.21484,187.92,-7.571353,1,0,1,0.003262,4.146412,30,643.531189,83.998856,0.001278,0,55.799999,0.299999,45.005,-7.187499,220,0.003262,4.862558,2.217882,4.188368,-26.284721
2221,328701,2025-06-02 16:56:41,4.615885,47.048611,56.099998,4.824942,21.637537,8.638521,1,1,25.068,-37.285152,187.92,-7.540946,1,0,1,0.003262,4.146412,30,642.81311,84.094032,0.001278,0,55.799999,0.299999,45.005,-7.070312,220,0.003262,4.863281,2.216435,4.189815,-26.228298
2221,328702,2025-06-02 16:56:41,4.69618,47.048611,56.099998,4.824942,21.62079,8.536109,1,1,-15.002,-31.894527,187.454,-32.17065,1,0,1,0.003263,4.146412,30,620.892578,84.099976,0.001301,0,55.799999,0.299999,45.005,-6.835937,220,0.003263,4.864005,2.217882,4.188368,-26.323784
