层数,序号,时间,成形室压力(mBar),成形室温度(℃),加热板温度(℃),氩气压力(Bar),CPU占用率(%),内存占用率(%),硬盘剩余容量(%),网络占用率(%),中效滤芯阻力(mBar),高效滤芯阻力(mBar),尘气室蝶阀状态(),净气室蝶阀状态(),刮刀位置(mm),刮刀扭矩(%),加工平台位置(mm),加工平台扭矩(%),压缩空气压力(Bar),环境氧含量(%),过滤器气源压力(Bar),脉冲清灰压力(Bar),成形室氧含量监控用氧传感器(%),成形室氧含量偏差(%),基材加热监控用PT100(℃),基材加热PT100偏差(℃),气动蝶阀压力(Bar),循环气体实时流量(m3/h),风机转速(%),净气室压力(mBar),落粉轴角度(°),落粉轴扭矩(%),储粉桶物位计(mm),成形室氧含量(%),预涂料蝶阀状态(),卸灰蝶阀状态(),过滤器安全门锁(),预涂料钝化压力(Bar),过滤器氧含量(%),灰桶料位(%),预涂料剩余重量(g)
1967,336983,2025-01-19 17:13:16,4.142795,33.680557,35.0,5.94618,,,,,2.474255,5.520582,1.0,1.0,520.0,8.92578,202.225,-8.878856,5.533854,0.653212,5.863715,3.987992,0.0526,0.0,34.900002,0.099998,4.232494,448.866364,45.695278,-0.681423,330.989,-7.558593,265.0,0.0048,0.0,1.0,1.0,4.232494,0.0048,0.0,0.0
1967,336984,2025-01-19 17:13:16,4.084201,33.680557,35.0,5.94618,,,,,2.474179,5.540273,1.0,1.0,520.0,9.140624,202.225,-8.301122,5.533854,0.653212,5.864439,3.987992,0.0526,0.0,34.900002,0.099998,4.232494,447.601471,45.695278,-0.707466,330.989,-7.36328,265.0,0.0048,0.0,1.0,1.0,4.232494,0.0048,0.0,0.0
1967,336985,2025-01-19 17:13:17,4.123264,33.680557,35.0,5.94618,,,,,2.477413,5.543217,1.0,1.0,466.132,-45.175777,202.725,2.341342,5.535301,0.668403,5.863715,3.987992,0.0526,0.0,34.900002,0.099998,4.232494,448.201111,45.695278,-0.694445,330.989,-7.421874,266.0,0.0048,0.0,1.0,1.0,4.232494,0.0048,0.0,0.0
1967,336986,2025-01-19 17:13:17,4.103733,33.680557,35.0,5.946904,,,,,2.47766,5.534798,1.0,1.0,378.124,-42.617184,202.725,-3.010297,5.534577,0.668403,5.863715,3.987992,0.0527,0.0,34.900002,0.099998,4.232494,451.206512,45.695278,-0.711805,330.989,-7.460937,265.0,0.0048,0.0,1.0,1.0,4.232494,0.0048,0.0,0.0
1967,336987,2025-01-19 17:13:18,4.144965,33.680557,35.0,5.945457,,,,,2.475975,5.495375,1.0,1.0,287.724,-38.33984,202.725,-6.993619,5.535301,0.668403,5.863715,3.987992,0.0526,0.0,34.900002,0.099998,4.232494,451.206512,45.695278,-0.724827,330.989,-7.343749,265.0,0.0048,0.0,1.0,1.0,4.232494,0.0048,0.0,0.0
1967,336988,2025-01-19 17:13:18,4.127604,33.680557,35.0,5.946904,,,,,2.478585,5.492552,1.0,1.0,196.528,-41.582027,202.725,-6.355072,5.534577,0.668403,5.863715,3.987992,0.0526,0.0,34.900002,0.099998,4.232494,452.587006,45.695278,-0.733507,330.989,-7.539062,265.0,0.0048,0.0,1.0,1.0,4.232494,0.0048,0.0,0.0
1967,336989,2025-01-19 17:13:19,4.036458,33.680557,35.0,5.946904,,,,,2.47754,5.510757,1.0,1.0,65.328,-41.562496,202.725,-5.686117,5.533854,0.668403,5.863715,3.987992,0.0526,0.0,34.900002,0.099998,4.232494,453.117188,45.695278,-0.720486,330.989,-7.578124,266.0,0.0048,0.0,1.0,1.0,4.232494,0.0048,0.0,0.0
1967,336990,2025-01-19 17:13:19,4.032118,33.680557,35.0,5.946904,,,,,2.4755,5.5058,1.0,1.0,-4.989,-22.910154,202.545,-25.724356,5.534577,0.668403,5.863715,3.987992,0.0526,0.0,34.900002,0.099998,4.232494,455.261566,45.695278,-0.711805,330.989,-7.421874,265.0,0.0048,0.0,1.0,1.0,4.232494,0.0048,0.0,0.0
1967,336991,2025-01-19 17:13:20,4.125434,33.680557,35.0,5.947628,,,,,2.477121,5.509459,1.0,1.0,-5.005,-18.242186,202.286,-17.332012,5.534577,0.668403,5.863715,3.987992,0.0526,0.0,34.900002,0.099998,4.232494,455.261566,45.695278,-0.724827,330.989,-7.539062,265.0,0.0048,0.0,1.0,1.0,4.232494,0.0048,0.0,0.0
1967,336992,2025-01-19 17:13:20,4.082031,33.680557,35.0,5.94618,,,,,2.481694,5.540238,1.0,1.0,-5.001,-15.839842,202.286,-9.45659,5.535301,0.668403,5.863715,3.987992,0.0526,0.0,34.900002,0.099998,4.232494,455.261566,45.695278,-0.724827,39.798,-19.824217,265.0,0.0048,0.0,1.0,1.0,4.232494,0.0048,0.0,0.0
