层数,序号,时间,成形室压力(mBar),成形室温度(℃),加热板温度(℃),氩气压力(Bar),中效滤芯阻力(mBar),高效滤芯阻力(mBar),尘气室蝶阀状态(),净气室蝶阀状态(),刮刀位置(mm),刮刀扭矩(%),加工平台位置(mm),加工平台扭矩(%),压缩空气压力(Bar),环境氧含量(%),过滤器气源压力(Bar),脉冲清灰压力(Bar),基材加热监控用PT100(℃),基材加热PT100偏差(℃),预涂料钝化压力(Bar),过滤器氧含量(%),气动蝶阀压力(Bar),循环气体实时流量(m3/h),风机转速(%),净气室压力(mBar),灰桶料位(%),预涂料剩余重量(g),落粉轴角度(°),落粉轴扭矩(%),储粉桶物位计(mm),成形室氧含量(%),预涂料蝶阀状态(),卸灰蝶阀状态(),过滤器安全门锁()
6564,472988,2025-05-18 03:15:48,3.652344,36.082176,34.0,4.542824,3.163947,2.002585,1,1,519.999,16.464842,330.633,-14.139274,5.768952,15.184462,4.469763,2.937645,33.200001,0.799999,4.986256,0.001,4.986256,467.646881,41.893223,-2.717014,0,0,295.001,-1.777344,154,0.001,0,1,1
6564,472989,2025-05-18 03:15:48,3.652344,36.082176,34.0,4.542824,3.162614,2.009305,1,1,519.999,16.464842,330.633,-14.017646,5.768952,15.184462,4.469763,2.937645,33.200001,0.799999,4.986256,0.001,4.986256,463.926697,41.899109,-2.734375,0,0,295.001,-2.65625,154,0.001,0,1,1
6564,472990,2025-05-18 03:15:49,3.682726,36.082176,34.0,4.544271,3.164254,2.015922,1,1,519.999,16.660154,330.713,4.439428,5.769676,15.184462,4.469763,2.937645,33.200001,0.799999,4.986256,0.001,4.986256,465.444031,41.999165,-2.756077,0,0,295.001,-2.617187,154,0.001,0,1,1
6564,472991,2025-05-18 03:15:49,3.656684,36.082176,34.0,4.542824,3.166038,2.009461,1,1,474.302,-42.08984,331.133,3.101518,5.769676,15.184462,4.469763,2.937645,33.200001,0.799999,4.986256,0.001,4.986256,470.677765,41.999165,-2.747396,0,0,295.001,-1.40625,154,0.001,0,1,1
6564,472992,2025-05-18 03:15:50,3.648004,36.082176,34.0,4.542824,3.165984,1.998949,1,1,294.121,-39.785152,331.133,-16.024509,5.769676,15.184462,4.469763,2.937645,33.200001,0.799999,4.986256,0.001,4.986256,470.677765,41.999165,-2.773438,0,0,295.001,-2.695312,154,0.001,0,1,1
6564,472993,2025-05-18 03:15:50,3.648004,36.082176,34.0,4.542824,3.165984,1.998949,1,1,294.121,-39.785152,331.133,-16.024509,5.769676,15.184462,4.469763,2.937645,33.200001,0.799999,4.986256,0.001,4.986256,470.677765,41.999165,-2.773438,0,0,295.001,-2.695312,154,0.001,0,1,1
6564,472994,2025-05-18 03:15:51,3.643663,36.082176,34.0,4.543548,3.157911,1.982062,1,1,228.52,-36.093746,331.133,-15.994103,5.768952,15.186632,4.469763,2.937645,33.200001,0.799999,4.986256,0.001,4.986256,473.864075,41.999165,-2.786459,0,0,295.001,-2.832031,154,0.001,0,1,1
6564,472995,2025-05-18 03:15:51,3.621962,36.082176,34.0,4.542824,3.162448,2.00576,1,1,114.914,-36.914059,331.133,-14.808228,5.768952,15.184462,4.469039,2.937645,33.200001,0.799999,4.986256,0.001,4.986256,478.023926,41.999165,-2.751736,0,0,295.001,-1.757812,154,0.001,0,1,1
6564,472996,2025-05-18 03:15:52,3.561198,36.082176,34.0,4.543548,3.161499,2.010431,1,1,-5.054,-17.597654,330.672,-28.278547,5.768229,15.184462,4.469039,2.937645,33.200001,0.799999,4.986979,0.001,4.986979,479.868652,41.999165,-2.769096,0,0,295.001,-1.425781,154,0.001,0,1,1
6564,472997,2025-05-18 03:15:52,3.561198,36.082176,34.0,4.543548,3.161499,2.010431,1,1,-5.054,-17.597654,330.672,-28.278547,5.768229,15.184462,4.469039,2.937645,33.200001,0.799999,4.986979,0.001,4.986979,479.868652,41.999165,-2.769096,0,0,295.001,-1.425781,154,0.001,0,1,1
6564,472998,2025-05-18 03:15:53,3.569879,36.082176,34.0,4.543548,3.163945,2.003205,1,1,-5.014,-12.871093,330.672,-7.81461,5.768229,15.154079,4.469763,2.937645,33.200001,0.799999,4.986979,0.001,4.986979,476.504517,42.09333,-2.769096,0,0,343.385,-15.175779,153,0.001,0,1,1
6564,472999,2025-05-18 03:15:53,3.59158,36.082176,34.0,4.543548,3.170187,2.01628,1,1,-5.001,-11.73828,330.673,-9.669439,5.768952,15.184462,4.469039,2.937645,33.200001,0.799999,4.986256,0.001,4.986256,476.504517,42.099216,-2.777779,0,0,343.043,-0.117187,153,0.001,0,1,1
6564,473000,2025-05-18 03:15:54,3.59592,36.082176,33.900002,4.543548,3.173237,2.035608,1,1,21.11,29.980465,330.673,-10.247172,5.768229,15.186632,4.469039,2.937645,33.200001,0.700001,4.986256,0.001,4.986256,476.504517,42.099216,-2.795139,0,0,342.993,-0.078125,154,0.001,0,1,1
6564,473001,2025-05-18 03:15:54,3.650174,36.082176,34.0,4.542824,3.176981,2.034571,1,1,68.915,28.80859,330.673,-10.399208,5.768229,15.186632,4.469763,2.937645,33.200001,0.799999,4.986256,0.001,4.986256,473.931458,42.099216,-2.795139,0,0,342.985,-2.207031,153,0.001,0,1,1
6564,473002,2025-05-18 03:15:55,3.639323,36.082176,34.0,4.543548,3.177201,2.040145,1,1,92.664,29.765621,330.673,-10.338394,5.768952,15.186632,4.469763,2.937645,33.200001,0.799999,4.986256,0.001,4.986256,472.460846,42.099216,-2.790798,0,0,342.989,-2.460937,154,0.001,0,1,1
6564,473003,2025-05-18 03:15:55,3.639323,36.082176,34.0,4.543548,3.177793,2.028331,1,1,119.532,29.882809,330.673,-10.764092,5.768952,15.184462,4.469763,2.937645,33.200001,0.799999,4.986256,0.001,4.986256,472.460846,42.193386,-2.769096,0,0,342.989,-3.007812,154,0.001,0,1,1
6564,473004,2025-05-18 03:15:56,3.648004,36.082176,34.0,4.543548,3.178746,2.019513,1,1,148.105,27.363279,330.673,-10.672872,5.770399,15.184462,4.469039,2.937645,33.200001,0.799999,4.986256,0.001,4.986256,472.460846,42.199272,-2.808159,0,0,342.989,-3.496094,154,0.001,0,1,1
6564,473005,2025-05-18 03:15:56,3.639323,36.067707,34.0,4.542101,3.179493,2.011339,1,1,177.38,27.871092,330.673,-11.068163,5.768229,15.486111,4.469039,2.937645,33.200001,0.799999,4.986979,0.001,4.986979,472.460846,42.199272,-2.808159,0,0,342.989,-3.417969,153,0.001,0,1,1
6564,473006,2025-05-18 03:15:57,3.645833,36.067707,34.0,4.543548,3.176025,2.006094,1,1,206.184,28.749996,330.673,-10.764092,5.768229,15.729167,4.469039,2.937645,33.200001,0.799999,4.986256,0.001,4.986256,472.460846,42.199272,-2.80382,0,0,342.993,-3.535156,154,0.001,0,1,1
6564,473007,2025-05-18 03:15:57,3.663194,36.067707,34.0,4.542824,3.180709,2.012364,1,1,238.339,29.667965,330.673,-11.037756,5.768952,15.976563,4.469039,2.937645,33.200001,0.799999,4.986979,0.001,4.986979,472.460846,42.293442,-2.808159,0,0,342.993,-5.175781,154,0.001,0,1,1
6564,473008,2025-05-18 03:15:58,3.637153,36.067707,34.0,4.542824,3.180569,2.018829,1,1,265.445,30.507809,330.673,-10.551243,5.769676,16.143663,4.469763,2.937645,33.200001,0.799999,4.986979,0.001,4.986979,473.52121,42.299324,-2.838541,0,0,342.993,-4.550781,153,0.001,0,1,1
6564,473009,2025-05-18 03:15:58,3.637153,36.067707,34.0,4.542824,3.181472,2.012138,1,1,287.044,34.863277,330.673,-10.551243,5.769676,16.362846,4.469039,2.937645,33.200001,0.799999,4.986979,0.001,4.986979,473.52121,42.299324,-2.860243,0,0,342.993,-4.433593,153,0.001,0,1,1
6564,473010,2025-05-18 03:15:59,3.671875,36.067707,34.0,4.542101,3.181606,2.00764,1,1,316.097,33.65234,330.673,-10.672872,5.768952,16.610243,4.469039,2.937645,33.200001,0.799999,4.986256,0.001,4.986256,473.52121,42.299324,-2.860243,0,0,342.997,-5.449218,154,0.001,0,1,1
6564,473011,2025-05-18 03:15:59,3.60026,36.067707,34.0,4.542824,3.183841,2.033519,1,1,376.104,30.136715,330.673,-10.642464,5.770399,17.033421,4.469763,2.937645,33.200001,0.799999,4.986979,0.001,4.986979,467.669647,42.39938,-2.873264,0,0,342.997,-5.3125,154,0.001,0,1,1
6564,473012,2025-05-18 03:16:00,3.60026,36.067707,34.0,4.542824,3.183841,2.033519,1,1,376.104,30.136715,330.673,-10.642464,5.770399,17.033421,4.469763,2.937645,33.200001,0.799999,4.986979,0.001,4.986979,467.669647,42.39938,-2.873264,0,0,342.997,-5.3125,154,0.001,0,1,1
6564,473013,2025-05-18 03:16:00,3.615451,36.067707,34.0,4.541378,3.188144,2.022414,1,1,406.821,31.445309,330.673,-11.40264,5.769676,16.686197,4.469039,2.937645,33.200001,0.799999,4.986256,0.001,4.986256,467.669647,42.493549,-2.855904,0,0,342.997,-5.371093,153,0.001,0,1,1
6564,473014,2025-05-18 03:16:01,3.648004,36.067707,34.0,4.542101,3.191065,2.039,1,1,479.782,34.843746,330.673,-11.706711,5.769676,16.655815,4.469039,2.937645,33.200001,0.799999,4.986256,0.001,4.986256,465.087677,42.593601,-2.890625,0,0,342.997,-5.097656,154,0.001,0,1,1
6564,473015,2025-05-18 03:16:01,3.648004,36.067707,34.0,4.542101,3.191065,2.039,1,1,479.782,34.843746,330.673,-11.706711,5.769676,16.655815,4.469039,2.937645,33.200001,0.799999,4.986256,0.001,4.986256,465.087677,42.593601,-2.890625,0,0,342.997,-5.097656,154,0.001,0,1,1
6564,473016,2025-05-18 03:16:02,3.648004,36.067707,34.0,4.542824,3.19644,2.057551,1,1,492.52,31.640621,330.673,-11.645897,5.770399,16.762154,4.469039,2.937645,33.200001,0.799999,4.986256,0.001,4.986979,465.087677,42.599483,-2.921007,0,0,342.997,-5.15625,154,0.001,0,1,1
6564,473017,2025-05-18 03:16:02,3.693576,36.067707,34.0,4.542824,3.206836,2.044419,1,1,520.026,16.855467,330.673,-12.43648,5.768952,16.521267,4.469039,2.937645,33.200001,0.799999,4.986256,0.001,4.986256,462.0177,42.693653,-2.868923,0,0,342.997,-5.273437,153,0.001,0,1,1
6564,473018,2025-05-18 03:16:03,3.721788,36.067707,34.0,4.543548,3.212859,2.066836,1,1,520.011,14.921873,330.673,-12.041188,5.769676,16.506077,4.469039,2.937645,33.200001,0.799999,4.986256,0.001,4.986256,465.514587,42.793709,-2.907986,0,0,342.997,-5.3125,154,0.001,0,1,1
6564,473019,2025-05-18 03:16:03,3.765191,36.067707,34.0,4.542824,3.217584,2.060968,1,1,520.001,14.257811,330.673,-11.767525,5.768229,15.872396,4.469039,2.939815,33.200001,0.799999,4.986256,0.001,4.986256,469.706177,42.799595,-2.842882,0,0,342.997,-5.566406,153,0.001,0,1,1
6564,473020,2025-05-18 03:16:04,3.778212,36.053242,34.0,4.543548,3.226472,2.075403,1,1,520.0,14.257811,330.673,-12.983807,5.768229,15.872396,4.469039,2.945602,33.200001,0.799999,4.986256,0.001,4.986256,469.706177,42.799595,-2.842882,0,0,342.997,-5.019531,153,0.001,0,1,1
6564,473021,2025-05-18 03:16:04,3.767361,36.067707,34.0,4.542824,3.249753,2.062279,1,1,520.0,14.531248,330.673,-12.132409,5.768952,15.729167,4.469039,2.945602,33.200001,0.799999,4.986979,0.001,4.986979,471.867004,42.899651,-2.890625,0,0,342.997,-5.117187,153,0.001,0,1,1
6564,473022,2025-05-18 03:16:05,3.758681,36.067707,34.0,4.542824,3.249341,2.07462,1,1,520.0,15.312498,330.673,-12.9534,5.768952,15.486111,4.469039,2.945602,33.200001,0.799999,4.986256,0.001,4.986256,471.867004,42.899651,-2.860243,0,0,342.997,-4.570312,154,0.001,0,1,1
6564,473023,2025-05-18 03:16:05,3.739149,36.067707,34.0,4.542824,3.25131,2.110482,1,1,520.0,15.371092,330.673,-13.044621,5.768952,15.486111,4.469039,2.945602,33.200001,0.799999,4.986256,0.001,4.986256,471.867004,42.99382,-2.899305,0,0,342.997,-5.566406,153,0.001,0,1,1
6564,473024,2025-05-18 03:16:06,3.717448,36.067707,34.0,4.542824,3.256333,2.107145,1,1,520.0,14.921873,330.673,-12.922992,5.768952,15.457899,4.469039,2.937645,33.200001,0.799999,4.986256,0.001,4.986256,471.867004,42.99382,-2.890625,0,0,342.997,-5.273437,154,0.001,0,1,1
6564,473025,2025-05-18 03:16:06,3.784722,36.067707,34.0,4.543548,3.26925,2.082272,1,1,520.0,15.312498,330.673,-13.075027,5.768952,15.457899,4.469039,2.937645,33.200001,0.799999,4.986256,0.001,4.986256,471.264038,42.999706,-2.916666,0,0,342.997,-5.703125,153,0.001,0,1,1
6564,473026,2025-05-18 03:16:07,3.773871,36.067707,34.0,4.542824,3.278041,2.075896,1,1,520.0,15.703123,330.673,-12.649329,5.770399,15.457899,4.469039,2.936921,33.200001,0.799999,4.986256,0.001,4.986256,471.264038,43.093876,-2.934029,0,0,342.997,-5.15625,154,0.001,0,1,1
6564,473027,2025-05-18 03:16:07,3.773871,36.067707,34.0,4.542824,3.277907,2.074498,1,1,520.0,15.878904,330.673,-12.22363,5.770399,15.457899,4.469039,2.936921,33.200001,0.799999,4.986256,0.001,4.986256,471.264038,43.093876,-2.916666,0,0,342.997,-5.527343,154,0.001,0,1,1
6564,473028,2025-05-18 03:16:08,3.758681,36.067707,33.900002,4.544271,3.275676,2.078984,1,1,520.0,15.878904,330.673,-13.591947,5.769676,15.455729,4.469039,2.937645,33.200001,0.700001,4.986256,0.001,4.986256,473.64975,43.193924,-2.925346,0,0,342.997,-5.371093,154,0.001,0,1,1
6564,473029,2025-05-18 03:16:08,3.758681,36.067707,34.0,4.543548,3.275922,2.082613,1,1,520.0,16.738279,330.673,-13.591947,5.769676,15.455729,4.469039,2.937645,33.200001,0.799999,4.986256,0.001,4.986256,473.64975,43.19981,-2.96007,0,0,342.997,-5.46875,154,0.001,0,1,1
6564,473030,2025-05-18 03:16:09,3.804254,36.067707,33.900002,4.544271,3.280326,2.089998,1,1,520.001,16.796873,330.673,-13.86561,5.769676,15.214844,4.469039,2.937645,33.200001,0.700001,4.986256,0.001,4.986256,473.64975,43.19981,-2.916666,0,0,342.997,-5.722656,154,0.001,0,1,1
6564,473031,2025-05-18 03:16:09,3.776042,36.067707,34.0,4.542824,3.281486,2.10115,1,1,520.001,16.679686,330.673,-13.743982,5.769676,15.154079,4.469763,2.937645,33.200001,0.799999,4.986256,0.001,4.986256,473.64975,43.19981,-2.938368,0,0,342.997,-5.332031,153,0.001,0,1,1
6564,473032,2025-05-18 03:16:10,3.776042,36.067707,34.0,4.542824,3.282516,2.107594,1,1,520.001,16.699217,330.673,-13.774389,5.770399,15.154079,4.469039,2.937645,33.200001,0.799999,4.986256,0.001,4.986256,473.64975,43.19981,-2.951389,0,0,342.997,-4.746093,154,0.001,0,1,1
6564,473033,2025-05-18 03:16:10,3.810764,36.067707,34.0,4.544271,3.281062,2.10745,1,1,520.001,16.386717,330.673,-13.683168,5.769676,15.065104,4.469039,2.937645,33.200001,0.799999,4.986256,0.001,4.986256,499.919891,43.299866,-2.96875,0,0,342.997,-4.980468,153,0.001,0,1,1
6564,473034,2025-05-18 03:16:11,3.786892,36.067707,34.0,4.542824,3.277707,2.106593,1,1,520.001,16.289061,330.673,-13.804796,5.768952,15.049913,4.469763,2.937645,33.200001,0.799999,4.986256,0.001,4.986256,499.919891,43.099758,-2.986111,0,0,342.997,-4.199218,154,0.001,0,1,1
6564,473035,2025-05-18 03:16:11,3.765191,36.067707,34.0,4.542824,3.280551,2.082179,1,1,520.001,15.878904,330.673,-13.896017,5.768952,15.049913,4.469039,2.937645,33.200001,0.799999,4.986256,0.001,4.986256,503.706299,42.999706,-2.942709,0,0,342.997,-5.546875,153,0.001,0,1,1
6564,473036,2025-05-18 03:16:12,3.765191,36.067707,34.0,4.544271,3.275818,2.096224,1,1,520.001,16.484373,330.673,-13.987239,5.768952,15.049913,4.469039,2.937645,33.200001,0.799999,4.986256,0.001,4.986256,503.706299,42.999706,-2.942709,0,0,342.997,-5.761718,153,0.001,0,1,1
6564,473037,2025-05-18 03:16:12,3.704427,36.067707,34.0,4.543548,3.275265,2.116802,1,1,520.001,16.386717,330.673,-13.926425,5.768229,15.062934,4.469763,2.937645,33.200001,0.799999,4.986256,0.001,4.986256,501.320404,42.899651,-2.938368,0,0,342.997,-4.355468,153,0.001,0,1,1
6564,473038,2025-05-18 03:16:14,3.75,36.082176,34.0,4.543548,3.278098,2.104509,1,1,520.001,16.699217,330.673,-13.956832,5.768952,15.065104,4.469039,2.937645,33.200001,0.799999,4.986979,0.001,4.986979,484.54657,42.899651,-2.955729,0,0,342.997,-4.511718,154,0.001,0,1,1
6564,473039,2025-05-18 03:16:14,3.680556,36.082176,34.0,4.543548,3.278297,2.10822,1,1,520.001,16.484373,330.673,-13.987239,5.768229,15.065104,4.469039,2.937645,33.200001,0.799999,4.986979,0.001,4.986979,484.54657,42.899651,-2.955729,0,0,342.997,-4.824218,154,0.001,0,1,1
6565,473038,2025-05-18 03:16:14,3.75,36.082176,34.0,4.543548,3.278098,2.104509,1,1,520.001,16.699217,330.673,-13.956832,5.768952,15.065104,4.469039,2.937645,33.200001,0.799999,4.986979,0.001,4.986979,484.54657,42.899651,-2.955729,0,0,342.997,-4.511718,154,0.001,0,1,1
6565,473039,2025-05-18 03:16:14,3.680556,36.082176,34.0,4.543548,3.278297,2.10822,1,1,520.001,16.484373,330.673,-13.987239,5.768229,15.065104,4.469039,2.937645,33.200001,0.799999,4.986979,0.001,4.986979,484.54657,42.899651,-2.955729,0,0,342.997,-4.824218,154,0.001,0,1,1
6565,473040,2025-05-18 03:16:15,3.678385,36.082176,33.900002,4.542824,3.274629,2.069054,1,1,520.001,16.386717,330.673,-14.048053,5.768229,15.065104,4.469039,2.937645,33.200001,0.700001,4.986256,0.001,4.986256,497.299255,42.899651,-2.96875,0,0,342.997,-5.976562,154,0.001,0,1,1
6565,473041,2025-05-18 03:16:15,3.704427,36.082176,34.0,4.542824,3.269343,2.067029,1,1,456.587,-37.87109,331.173,4.165764,5.768952,15.080296,4.469763,2.937645,33.200001,0.799999,4.986256,0.001,4.986256,501.525543,42.799595,-2.986111,0,0,342.997,-4.84375,154,0.001,0,1,1
6565,473042,2025-05-18 03:16:16,3.569879,36.082176,34.0,4.544271,3.266241,2.04776,1,1,341.314,-41.035152,331.173,-7.29769,5.768952,15.214844,4.469763,2.937645,33.200001,0.799999,4.986256,0.001,4.986256,501.525543,42.699539,-2.973091,0,0,342.997,-5.3125,154,0.001,0,1,1
6565,473043,2025-05-18 03:16:16,3.567708,36.082176,34.0,4.544271,3.264069,2.036436,1,1,269.323,-35.585934,331.173,-13.044621,5.769676,15.698785,4.469039,2.937645,33.200001,0.799999,4.986256,0.001,4.986256,502.577576,42.599483,-2.97743,0,0,342.997,-4.53125,154,0.001,0,1,1
6565,473044,2025-05-18 03:16:17,3.567708,36.082176,34.0,4.543548,3.259609,2.047101,1,1,195.724,-38.749996,331.173,-14.260902,5.767506,15.826823,4.469763,2.937645,33.200001,0.799999,4.986256,0.001,4.986256,502.577576,42.599483,-2.981771,0,0,342.997,-4.648437,153,0.001,0,1,1
6565,473045,2025-05-18 03:16:17,3.58941,36.082176,33.900002,4.544271,3.251318,2.058462,1,1,112.519,-35.449215,331.173,-13.56154,5.767506,15.839844,4.469763,2.937645,33.200001,0.700001,4.986256,0.001,4.986256,504.720062,42.499435,-2.938368,0,0,342.997,-5.3125,153,0.001,0,1,1
6565,473046,2025-05-18 03:16:18,3.572049,36.082176,33.900002,4.544271,3.243412,2.050153,1,1,-2.408,-9.179687,330.717,-21.37615,5.768229,15.842014,4.469039,2.937645,33.200001,0.700001,4.986256,0.001,4.986256,507.261963,42.39938,-2.955729,0,0,342.997,-4.804687,154,0.001,0,1,1
6565,473047,2025-05-18 03:16:18,3.567708,36.082176,34.0,4.544271,3.23488,2.053373,1,1,-5.034,-15.234373,330.712,-15.264335,5.769676,16.009115,4.469039,2.937645,33.200001,0.799999,4.986256,0.001,4.986256,509.628937,42.199272,-2.907986,0,0,342.997,-5.546875,153,0.001,0,1,1
6565,473048,2025-05-18 03:16:19,3.491754,36.082176,34.0,4.542824,3.230846,2.057029,1,1,-5.008,-12.441405,330.713,-9.821474,5.768952,16.082899,4.469039,2.937645,33.200001,0.799999,4.986979,0.001,4.986979,509.938171,42.199272,-2.864584,0,0,31.661,4.199218,153,0.001,0,1,1
6565,473049,2025-05-18 03:16:19,3.522135,36.082176,33.900002,4.542824,3.222763,2.045503,1,1,-5.0,-12.499999,330.713,-8.909263,5.768229,16.065538,4.469039,2.937645,33.200001,0.700001,4.986979,0.001,4.986256,507.338257,42.099216,-2.868923,0,0,31.008,4.257812,153,0.001,0,1,1
6565,473050,2025-05-18 03:16:20,3.500434,36.082176,34.0,4.544271,3.214062,2.016645,1,1,16.524,30.99609,330.713,-10.003917,5.768952,15.824653,4.469039,2.937645,33.200001,0.799999,4.986979,0.001,4.986979,505.214966,41.999165,-2.886284,0,0,30.985,3.789062,153,0.001,0,1,1
6565,473051,2025-05-18 03:16:20,3.572049,36.082176,33.900002,4.542824,3.20862,2.023218,1,1,51.39,29.667965,330.713,-9.882288,5.768952,15.887587,4.469039,2.937645,33.200001,0.700001,4.986979,0.001,4.986979,503.592712,41.999165,-2.877604,0,0,30.982,1.894531,153,0.001,0,1,1
6565,473052,2025-05-18 03:16:21,3.43967,36.082176,34.0,4.543548,3.202548,1.998957,1,1,76.579,29.804684,330.713,-10.368801,5.768952,15.622829,4.469039,2.937645,33.200001,0.799999,4.986256,0.001,4.986256,501.525543,41.899109,-2.842882,0,0,30.985,0.800781,153,0.001,0,1,1
6565,473053,2025-05-18 03:16:21,3.513455,36.082176,34.0,4.543548,3.197628,2.003289,1,1,104.445,26.972654,330.713,-10.216765,5.769676,15.457899,4.469763,2.936921,33.200001,0.799999,4.986256,0.001,4.986256,500.065948,41.799053,-2.855904,0,0,30.985,0.273437,153,0.001,0,1,1
6565,473054,2025-05-18 03:16:22,3.459201,36.082176,33.900002,4.543548,3.189478,1.98658,1,1,155.776,29.804684,330.713,-9.882288,5.769676,15.275608,4.469039,2.937645,33.200001,0.700001,4.986979,0.001,4.986979,496.471924,41.699001,-2.842882,0,0,30.989,-0.273437,153,0.001,0,1,1
6565,473055,2025-05-18 03:16:22,3.459201,36.082176,34.0,4.543548,3.183277,1.985676,1,1,177.619,29.335934,330.713,-10.672872,5.769676,15.503472,4.469039,2.937645,33.200001,0.799999,4.986979,0.001,4.986979,496.471924,41.598946,-2.838541,0,0,30.989,-2.050781,153,0.001,0,1,1
6565,473056,2025-05-18 03:16:23,3.465712,36.082176,33.900002,4.544271,3.175045,1.980428,1,1,206.184,27.265623,330.713,-10.612057,5.768229,15.366754,4.469039,2.937645,33.200001,0.700001,4.986256,0.001,4.986979,496.471924,41.598946,-2.825521,0,0,30.993,-1.113281,153,0.001,0,1,1
6565,473057,2025-05-18 03:16:23,3.43099,36.082176,34.0,4.543548,3.166786,1.947733,1,1,240.262,28.300777,330.713,-10.034324,5.769676,15.305989,4.469763,2.937645,33.200001,0.799999,4.986979,0.001,4.986979,496.471924,41.49889,-2.842882,0,0,30.993,-1.816406,153,0.001,0,1,1
6565,473058,2025-05-18 03:16:24,3.454861,36.082176,34.0,4.542824,3.160876,1.953607,1,1,269.287,32.207027,330.713,-10.703279,5.768952,15.546875,4.469039,2.945602,33.200001,0.799999,4.986256,0.001,4.986256,496.471924,41.398842,-2.80382,0,0,30.993,-2.636719,153,0.001,0,1,1
6565,473059,2025-05-18 03:16:24,3.44401,36.067707,34.0,4.543548,3.15784,1.958375,1,1,297.391,33.33984,330.713,-10.642464,5.768952,15.427517,4.469039,2.945602,33.200001,0.799999,4.986256,0.1,4.986979,496.471924,41.398842,-2.799479,0,0,30.997,-1.855469,153,0.001,0,1,1
6565,473060,2025-05-18 03:16:25,3.44401,36.067707,33.900002,4.542824,3.156004,1.946445,1,1,331.473,33.457027,330.713,-10.703279,5.768229,15.607639,4.469763,2.945602,33.200001,0.700001,4.986979,0.001,4.986256,496.471924,41.298786,-2.816841,0,0,30.997,-2.96875,153,0.001,0,1,1
6565,473061,2025-05-18 03:16:25,3.355035,36.067707,33.900002,4.542101,3.142182,1.93342,1,1,358.104,34.609371,330.713,-10.946534,5.768229,16.293404,4.469763,2.945602,33.200001,0.700001,4.986256,0.001,4.986256,496.471924,41.19873,-2.799479,0,0,30.997,-2.8125,153,0.001,0,1,1
6565,473062,2025-05-18 03:16:26,3.387587,36.067707,34.0,4.542824,3.135408,1.924438,1,1,392.424,30.917965,330.713,-10.88572,5.768952,17.504341,4.469763,2.937645,33.200001,0.799999,4.986256,0.001,4.986256,495.953949,41.098675,-2.751736,0,0,30.997,-2.480469,154,0.001,0,1,1
6565,473063,2025-05-18 03:16:26,3.44401,36.067707,34.0,4.543548,3.12944,1.931816,1,1,420.491,30.390621,330.713,-11.159384,5.768229,17.504341,4.469763,2.936921,33.200001,0.799999,4.986256,0.001,4.986256,492.750214,41.098675,-2.747396,0,0,31.001,-3.007812,153,0.001,0,1,1
6565,473064,2025-05-18 03:16:27,3.398438,36.067707,33.900002,4.543548,3.122723,1.924857,1,1,466.823,35.429684,330.713,-10.368801,5.769676,17.215712,4.469763,2.937645,33.200001,0.700001,4.986256,0.001,4.986256,488.276398,40.998619,-2.703993,0,0,31.001,-2.480469,153,0.001,0,1,1
6565,473065,2025-05-18 03:16:27,3.407118,36.067707,34.0,4.542824,3.113963,1.934952,1,1,485.056,36.484371,330.713,-10.429615,5.770399,17.215712,4.469763,2.936921,33.200001,0.799999,4.986979,0.001,4.986979,483.698181,40.998619,-2.703993,0,0,31.001,-2.988281,153,0.001,0,1,1
6565,473066,2025-05-18 03:16:28,3.457031,36.067707,33.900002,4.543548,3.101911,1.937404,1,1,513.396,30.820309,330.713,-10.946534,5.769676,16.990017,4.469763,2.937645,33.200001,0.700001,4.986256,0.001,4.986256,480.529633,40.998619,-2.669271,0,0,31.001,-2.460937,153,0.001,0,1,1
