层数,序号,时间,成形室压力(mBar),成形室温度(℃),加热板温度(℃),氩气压力(Bar),中效滤芯阻力(mBar),高效滤芯阻力(mBar),尘气室蝶阀状态(),净气室蝶阀状态(),刮刀位置(mm),刮刀扭矩(%),加工平台位置(mm),加工平台扭矩(%),压缩空气压力(Bar),环境氧含量(%),过滤器气源压力(Bar),脉冲清灰压力(Bar),气动蝶阀压力(Bar),循环气体实时流量(m3/h),风机转速(%),净气室压力(mBar),落粉轴角度(°),落粉轴扭矩(%),储粉桶物位计(mm),成形室氧含量(%),预涂料蝶阀状态(),卸灰蝶阀状态(),过滤器安全门锁()
72,25906,2024-10-05 11:49:06,15.329861,35.402199,44.599998,4.729456,4.022888,4.785205,1,1,520.0,13.710937,104.309,-5.351639,4.872685,18.715279,4.692564,4.701968,4.842303,448.944946,46.095493,8.797745,202.998,2.363281,245,0.001,0,1,1
72,25907,2024-10-05 11:49:06,15.210504,35.402199,44.599998,4.729456,4.025667,4.805522,1,1,520.0,13.61328,104.309,-4.895534,4.872685,18.715279,4.69184,4.701968,4.842303,448.944946,46.095493,8.806423,202.998,2.65625,245,0.001,0,1,1
72,25908,2024-10-05 11:49:07,15.247396,35.402199,44.599998,4.728733,4.023702,4.790588,1,1,470.939,-54.042965,104.809,2.341342,4.873409,18.715279,4.69184,4.701968,4.842303,449.271851,46.095493,8.741318,203.002,2.988281,245,0.001,0,1,1
72,25909,2024-10-05 11:49:07,15.247396,35.402199,44.599998,4.728733,4.023702,4.790588,1,1,470.939,-54.042965,104.809,2.341342,4.873409,18.715279,4.69184,4.701968,4.842303,449.271851,46.095493,8.741318,203.002,2.988281,245,0.001,0,1,1
72,25910,2024-10-05 11:49:08,15.256077,35.402199,44.599998,4.728733,4.017415,4.746865,1,1,310.924,-43.066402,104.809,-9.091705,4.872685,18.730469,4.692564,4.701968,4.842303,449.271851,45.995438,8.723957,203.002,3.28125,245,0.001,0,1,1
72,25911,2024-10-05 11:49:08,15.245226,35.402199,44.599998,4.729456,4.011538,4.734434,1,1,179.73,-43.378902,104.809,-9.182926,4.873409,18.730469,4.69184,4.701968,4.842303,450.501953,45.995438,8.723957,202.998,2.460937,245,0.001,0,1,1
72,25912,2024-10-05 11:49:09,15.227864,35.38773,44.599998,4.728009,4.009404,4.72014,1,1,92.537,-51.074215,104.809,-9.517404,4.872685,18.730469,4.69184,4.701968,4.842303,451.167511,45.995438,8.723957,202.998,2.792969,245,0.001,0,1,1
72,25913,2024-10-05 11:49:09,15.227864,35.38773,44.599998,4.728009,4.009404,4.72014,1,1,92.537,-51.074215,104.809,-9.517404,4.872685,18.730469,4.69184,4.701968,4.842303,451.167511,45.995438,8.723957,202.998,2.792969,245,0.001,0,1,1
72,25914,2024-10-05 11:49:10,15.245226,35.38773,44.599998,4.725116,4.010212,4.788802,1,1,-5.001,-29.726559,104.349,-9.730253,4.872685,18.730469,4.667969,4.701968,4.842303,448.502197,45.995438,8.758682,288.204,-11.484374,245,0.001,0,1,1
72,25915,2024-10-05 11:49:10,15.245226,35.38773,44.599998,4.725116,4.010212,4.788802,1,1,-5.001,-29.726559,104.349,-9.730253,4.872685,18.730469,4.667969,4.701968,4.842303,448.502197,45.995438,8.758682,288.204,-11.484374,245,0.001,0,1,1
72,25916,2024-10-05 11:49:11,15.230035,35.38773,44.599998,4.725839,4.013859,4.792102,1,1,-5.0,-27.890623,104.349,-5.686117,4.871962,18.730469,4.688223,4.697628,4.842303,447.326599,45.995438,8.771702,287.071,6.171875,244,0.001,0,1,1
72,25917,2024-10-05 11:49:11,15.297309,35.38773,44.599998,4.728009,4.017016,4.784493,1,1,35.249,36.542965,104.349,-6.689549,4.872685,18.730469,4.68967,4.699074,4.842303,443.328796,45.995438,8.741318,286.987,6.640625,244,0.001,0,1,1
72,25918,2024-10-05 11:49:12,15.31684,35.38773,44.599998,4.726563,4.019247,4.764709,1,1,100.068,36.30859,104.349,-6.26385,4.872685,18.730469,4.690393,4.699798,4.842303,441.35965,46.095493,8.75,286.987,5.292968,244,0.001,0,1,1
72,25919,2024-10-05 11:49:12,15.31684,35.38773,44.599998,4.726563,4.019247,4.764709,1,1,100.068,36.30859,104.349,-6.26385,4.872685,18.730469,4.690393,4.699798,4.842303,441.35965,46.095493,8.75,286.987,5.292968,244,0.001,0,1,1
72,25920,2024-10-05 11:49:13,15.286458,35.38773,44.599998,4.727286,4.01395,4.764686,1,1,142.865,36.660152,104.349,-6.26385,4.872685,18.730469,4.69184,4.700521,4.842303,441.314728,46.095493,8.732639,286.987,4.375,244,0.001,0,1,1
72,25921,2024-10-05 11:49:13,15.275608,35.373264,44.599998,4.728733,4.008776,4.802129,1,1,224.864,36.230465,104.349,-6.993619,4.871962,18.730469,4.69184,4.701244,4.842303,441.314728,46.095493,8.702255,286.991,2.8125,244,0.001,0,1,1
72,25922,2024-10-05 11:49:14,15.30382,35.373264,44.599998,4.728733,4.006847,4.785235,1,1,280.068,35.019527,104.349,-6.963212,4.873409,18.730469,4.692564,4.701968,4.842303,441.314728,46.095493,8.706596,286.991,1.933594,244,0.001,0,1,1
72,25923,2024-10-05 11:49:15,15.282118,35.373264,44.599998,4.728009,4.012376,4.771109,1,1,323.665,36.035152,104.349,-6.750363,4.872685,18.730469,4.692564,4.701968,4.842303,447.275269,46.195549,8.658855,286.994,1.40625,244,0.001,0,1,1
72,25924,2024-10-05 11:49:15,15.282118,35.373264,44.599998,4.728009,4.012376,4.771109,1,1,323.665,36.035152,104.349,-6.750363,4.872685,18.730469,4.692564,4.701968,4.842303,447.275269,46.195549,8.658855,286.994,1.40625,244,0.001,0,1,1
72,25925,2024-10-05 11:49:16,15.210504,35.373264,44.599998,4.728009,4.015438,4.769074,1,1,476.472,35.83984,104.349,-5.047569,4.872685,18.730469,4.693287,4.702691,4.842303,447.873291,46.195549,8.693577,286.994,0.058594,244,0.001,0,1,1
72,25926,2024-10-05 11:49:16,15.154079,35.358795,44.599998,4.729456,4.017482,4.727129,1,1,520.013,18.828123,104.349,-5.838152,4.873409,18.730469,4.693287,4.702691,4.842303,443.906342,46.195549,8.702255,286.998,0.273437,244,0.001,0,1,1
72,25927,2024-10-05 11:49:17,15.258246,35.358795,44.599998,4.729456,4.011754,4.747965,1,1,520.002,11.777343,104.349,-5.077976,4.873409,18.730469,4.693287,4.703414,4.842303,440.194794,46.195549,8.693577,286.998,0.15625,244,0.001,0,1,1
72,25928,2024-10-05 11:49:17,15.347222,35.358795,44.599998,4.729456,4.020589,4.84824,1,1,520.0,12.246093,104.349,-5.077976,4.871962,18.730469,4.69401,4.703414,4.842303,439.716431,46.295605,8.723957,286.998,0.058594,244,0.001,0,1,1
72,25929,2024-10-05 11:49:18,15.414496,35.358795,44.599998,4.730179,4.027866,4.864389,1,1,520.0,12.714843,104.349,-5.382046,4.872685,18.730469,4.69401,4.703414,4.842303,439.716431,46.295605,8.73698,286.998,0.214844,244,0.001,0,1,1
72,25930,2024-10-05 11:49:18,15.414496,35.358795,44.599998,4.728733,4.038462,4.852858,1,1,520.0,13.242187,104.349,-4.773905,4.871962,18.730469,4.69401,4.703414,4.842303,450.501953,46.295605,8.73698,286.998,0.390625,244,0.001,0,1,1
72,25931,2024-10-05 11:49:19,15.245226,35.358795,44.599998,4.729456,4.030339,4.811889,1,1,520.0,13.398437,104.349,-5.412453,4.871962,18.728298,4.69401,4.703414,4.842303,474.979675,46.195549,8.793404,286.998,0.078125,244,0.001,0,1,1
