层数,序号,时间,成形室压力(mBar),成形室温度(℃),加热板温度(℃),氩气压力(Bar),CPU占用率(%),内存占用率(%),硬盘剩余容量(%),网络占用率(%),中效滤芯阻力(mBar),高效滤芯阻力(mBar),尘气室蝶阀状态(),净气室蝶阀状态(),刮刀位置(mm),刮刀扭矩(%),加工平台位置(mm),加工平台扭矩(%),压缩空气压力(Bar),环境氧含量(%),过滤器气源压力(Bar),脉冲清灰压力(Bar),气动蝶阀压力(Bar),循环气体实时流量(m3/h),风机转速(%),净气室压力(mBar),落粉轴角度(°),落粉轴扭矩(%),储粉桶物位计(mm),成形室氧含量(%)
133,46025,2025-06-08 18:07:05,4.84375,36.776619,48.599998,4.748987,,,,,3.464816,2.314585,1.0,1.0,520.004,12.402343,77.288,-3.131925,5.519387,2.439236,4.722222,3.399884,5.365307,440.205841,42.393494,-1.627604,159.407,-2.597656,235.0,0.001
133,46026,2025-06-08 18:07:05,4.854601,36.776619,48.599998,4.749711,,,,,3.469388,2.319669,1.0,1.0,520.004,12.20703,77.288,-4.10495,5.519387,2.439236,4.722222,3.399884,5.365307,447.054749,42.493549,-1.627604,159.407,-3.339844,235.0,0.001
133,46027,2025-06-08 18:07:06,4.854601,36.776619,48.599998,4.749711,,,,,3.469388,2.319669,1.0,1.0,520.004,12.20703,77.288,-4.10495,5.519387,2.439236,4.722222,3.399884,5.365307,447.054749,42.493549,-1.627604,159.407,-3.339844,235.0,0.001
133,46028,2025-06-08 18:07:06,4.83941,36.776619,48.599998,4.748264,,,,,3.4692,2.329826,1.0,1.0,448.122,-38.007809,77.788,1.611573,5.519387,2.439236,4.722222,3.399884,5.365307,473.579437,42.499435,-1.688368,159.407,-4.160156,235.0,0.001
133,46029,2025-06-08 18:07:07,4.83941,36.776619,48.599998,4.748264,,,,,3.4692,2.329826,1.0,1.0,448.122,-38.007809,77.788,1.611573,5.519387,2.439236,4.722222,3.399884,5.365307,473.579437,42.499435,-1.688368,159.407,-4.160156,235.0,0.001
133,46030,2025-06-08 18:07:07,4.869792,36.776619,48.599998,4.748264,,,,,3.466758,2.308806,1.0,1.0,347.285,-38.261715,77.788,-6.081408,5.519387,2.454427,4.722222,3.399884,5.365307,461.248901,42.593601,-1.697048,159.407,-4.023437,235.0,0.001
133,46031,2025-06-08 18:07:08,4.887153,36.776619,48.599998,4.748264,,,,,3.466103,2.299172,1.0,1.0,167.291,-40.234371,77.788,-6.598328,5.52011,2.454427,4.722222,3.400608,5.365307,502.872101,42.599483,-1.72743,159.407,-4.179687,235.0,0.001
133,46032,2025-06-08 18:07:08,4.85243,36.776619,48.599998,4.748987,,,,,3.468265,2.294255,1.0,1.0,72.136,-46.328121,77.788,-6.902398,5.52011,2.439236,4.722222,3.399884,5.365307,514.430115,42.599483,-1.697048,159.407,-2.558594,235.0,0.001
133,46033,2025-06-08 18:07:09,4.85243,36.776619,48.599998,4.748987,,,,,3.468265,2.294255,1.0,1.0,72.136,-46.328121,77.788,-6.902398,5.52011,2.439236,4.722222,3.399884,5.365307,514.430115,42.599483,-1.697048,159.407,-2.558594,235.0,0.001
133,46034,2025-06-08 18:07:09,4.904514,36.776619,48.599998,4.748987,,,,,3.469636,2.319607,1.0,1.0,-5.088,-23.886717,77.329,-10.551243,5.52011,2.439236,4.722222,3.400608,5.365307,505.654785,42.699539,-1.71007,159.407,-2.382812,235.0,0.001
133,46035,2025-06-08 18:07:10,4.828559,36.776619,48.599998,4.748264,,,,,3.473814,2.323907,1.0,1.0,-5.033,-10.01953,77.328,-11.128977,5.518663,2.439236,4.722222,3.401331,5.365307,475.842712,42.699539,-1.72743,161.373,-10.742187,235.0,0.001
133,46036,2025-06-08 18:07:10,4.874132,36.776619,48.599998,4.733796,,,,,3.478842,2.327381,1.0,1.0,-5.009,-7.499999,77.328,-7.875423,5.518663,2.439236,4.721499,3.400608,5.365307,506.123108,42.699539,-1.714409,219.483,-9.980468,234.0,0.001
133,46037,2025-06-08 18:07:11,4.861111,36.776619,48.599998,4.751881,,,,,3.48245,2.335021,1.0,1.0,-5.001,-7.402343,77.328,-7.571353,5.519387,2.439236,4.726563,3.400608,5.365307,507.565277,42.699539,-1.71875,223.419,-10.859374,234.0,0.001
133,46038,2025-06-08 18:07:11,4.802517,36.776619,48.599998,4.754051,,,,,3.487601,2.345783,1.0,1.0,53.484,34.511715,77.328,-7.723388,5.518663,2.439236,4.727286,3.400608,5.365307,475.641266,42.699539,-1.72743,223.427,-9.980468,235.0,0.001
133,46039,2025-06-08 18:07:12,4.802517,36.776619,48.599998,4.754051,,,,,3.487601,2.345783,1.0,1.0,53.484,34.511715,77.328,-7.723388,5.518663,2.439236,4.727286,3.400608,5.365307,475.641266,42.699539,-1.72743,223.427,-9.980468,235.0,0.001
133,46040,2025-06-08 18:07:12,4.824219,36.762154,48.599998,4.754051,,,,,3.483487,2.35227,1.0,1.0,122.304,31.874996,77.328,-7.997052,5.518663,2.424045,4.726563,3.399884,5.365307,451.792419,42.699539,-1.72743,223.427,-8.476562,235.0,0.001
133,46041,2025-06-08 18:07:13,4.858941,36.762154,48.599998,4.754051,,,,,3.481969,2.345263,1.0,1.0,184.708,31.484371,77.328,-8.331529,5.52011,2.424045,4.725839,3.400608,5.365307,459.143738,42.699539,-1.740452,223.423,-7.539062,234.0,0.001
133,46042,2025-06-08 18:07:13,4.809028,36.762154,48.599998,4.751881,,,,,3.479097,2.342871,1.0,1.0,273.947,40.605465,77.329,-3.527217,5.519387,2.424045,4.725116,3.400608,5.365307,477.65094,42.793709,-1.740452,223.419,-7.617187,235.0,0.001
133,46043,2025-06-08 18:07:14,4.809028,36.762154,48.599998,4.751881,,,,,3.479097,2.342871,1.0,1.0,273.947,40.605465,77.329,-3.527217,5.519387,2.424045,4.725116,3.400608,5.365307,477.65094,42.793709,-1.740452,223.419,-7.617187,235.0,0.001
133,46044,2025-06-08 18:07:14,4.83941,36.762154,48.599998,4.752604,,,,,3.479658,2.342642,1.0,1.0,323.107,36.249996,77.329,-9.213333,5.52011,2.393663,4.725116,3.399884,5.365307,509.817383,42.799595,-1.731771,223.419,-5.898437,235.0,0.001
133,46045,2025-06-08 18:07:15,4.887153,36.762154,48.599998,4.751881,,,,,3.487499,2.354002,1.0,1.0,377.549,29.335934,77.328,-7.723388,5.52011,2.393663,4.725116,3.399884,5.365307,484.294403,42.799595,-1.749132,223.416,-6.347656,235.0,0.001
133,46046,2025-06-08 18:07:15,4.774305,36.747684,48.599998,4.751881,,,,,3.488134,2.342688,1.0,1.0,456.304,32.324215,77.328,-3.679252,5.52011,2.393663,4.724392,3.399884,5.365307,467.885284,42.799595,-1.72743,223.416,-5.546875,235.0,0.001
133,46047,2025-06-08 18:07:16,4.813368,36.747684,48.599998,4.751157,,,,,3.487812,2.337407,1.0,1.0,520.049,20.859373,77.328,-6.4767,5.519387,2.393663,4.724392,3.400608,5.365307,520.285889,42.799595,-1.731771,223.416,-6.542968,235.0,0.001
133,46048,2025-06-08 18:07:16,4.84592,36.747684,48.599998,4.751881,,,,,3.490688,2.337369,1.0,1.0,520.027,14.511717,77.328,-10.733685,5.520833,2.393663,4.724392,3.399884,5.365307,508.461426,42.799595,-1.701389,223.416,-6.699218,235.0,0.001
134,46179,2025-06-08 18:08:24,4.83941,36.776619,48.700001,4.749711,,,,,3.50203,2.334833,1.0,1.0,520.004,12.226562,77.328,-5.898966,5.517216,2.439236,4.721499,3.399884,5.365307,482.317444,42.699539,-1.692709,223.416,-6.894531,235.0,0.001
134,46180,2025-06-08 18:08:24,4.858941,36.776619,48.700001,4.748987,,,,,3.492783,2.331877,1.0,1.0,520.004,12.128905,77.328,-5.716524,5.518663,2.439236,4.721499,3.399884,5.365307,473.355347,42.699539,-1.714409,223.416,-6.542968,235.0,0.001
134,46181,2025-06-08 18:08:25,4.858941,36.776619,48.700001,4.748987,,,,,3.492783,2.331877,1.0,1.0,520.004,12.128905,77.328,-5.716524,5.518663,2.439236,4.721499,3.399884,5.365307,473.355347,42.699539,-1.714409,223.416,-6.542968,235.0,0.001
134,46182,2025-06-08 18:08:25,4.858941,36.776619,48.700001,4.748987,,,,,3.487162,2.336084,1.0,1.0,520.004,12.343749,77.328,-5.594895,5.518663,2.439236,4.721499,3.399884,5.365307,498.43338,42.699539,-1.697048,223.416,-6.777343,235.0,0.001
134,46183,2025-06-08 18:08:26,4.817708,36.776619,48.700001,4.749711,,,,,3.49237,2.339147,1.0,1.0,477.907,-37.226559,77.828,2.067679,5.517216,2.439236,4.721499,3.399884,5.365307,497.945831,42.699539,-1.71875,223.416,-6.816406,235.0,0.001
134,46184,2025-06-08 18:08:26,4.824219,36.776619,48.700001,4.749711,,,,,3.496058,2.333476,1.0,1.0,320.876,-36.640621,77.828,-10.855313,5.51794,2.439236,4.721499,3.399884,5.365307,510.336761,42.599483,-1.757813,223.416,-6.640625,235.0,0.001
134,46185,2025-06-08 18:08:27,4.828559,36.776619,48.700001,4.748264,,,,,3.492567,2.323405,1.0,1.0,208.04,-41.15234,77.828,-10.612057,5.51794,2.439236,4.721499,3.399884,5.365307,487.198242,42.599483,-1.714409,223.416,-5.3125,235.0,0.001
134,46186,2025-06-08 18:08:27,4.772135,36.776619,48.700001,4.748264,,,,,3.488334,2.32081,1.0,1.0,123.282,-43.828121,77.828,-10.520836,5.51794,2.439236,4.721499,3.399884,5.364583,484.854004,42.599483,-1.731771,223.416,-5.273437,235.0,0.001
134,46187,2025-06-08 18:08:28,4.793837,36.776619,48.700001,4.748264,,,,,3.490011,2.325494,1.0,1.0,-4.653,-24.238279,77.515,-21.771441,5.51794,2.439236,4.721499,3.399884,5.365307,485.090363,42.599483,-1.736111,223.416,-5.78125,235.0,0.001
134,46188,2025-06-08 18:08:28,4.83941,36.762154,48.700001,4.748987,,,,,3.491676,2.318158,1.0,1.0,-5.066,-14.550779,77.368,-11.645897,5.517216,2.439236,4.721499,3.399884,5.365307,468.244751,42.599483,-1.736111,223.416,-6.347656,235.0,0.001
134,46189,2025-06-08 18:08:29,4.813368,36.762154,48.700001,4.748987,,,,,3.493013,2.314335,1.0,1.0,-5.026,-9.316405,77.368,-6.598328,5.519387,2.439236,4.696904,3.399884,5.365307,471.876526,42.499435,-1.688368,253.344,-24.921873,235.0,0.001
134,46190,2025-06-08 18:08:29,4.813368,36.762154,48.700001,4.748987,,,,,3.493013,2.314335,1.0,1.0,-5.026,-9.316405,77.368,-6.598328,5.519387,2.439236,4.696904,3.399884,5.365307,471.876526,42.499435,-1.688368,253.344,-24.921873,235.0,0.001
134,46191,2025-06-08 18:08:30,4.789496,36.762154,48.700001,4.74754,,,,,3.489999,2.310528,1.0,1.0,-5.005,-7.578124,77.368,-6.111815,5.51794,2.439236,4.725839,3.399884,5.365307,486.467468,42.499435,-1.697048,287.359,-16.015623,234.0,0.001
134,46192,2025-06-08 18:08:30,4.739583,36.762154,48.700001,4.754774,,,,,3.490247,2.29953,1.0,1.0,9.203,32.109371,77.368,-6.385478,5.519387,2.439236,4.727286,3.399884,5.365307,497.227509,42.499435,-1.736111,287.421,-15.683592,234.0,0.001
134,46193,2025-06-08 18:08:31,4.85026,36.762154,48.700001,4.756221,,,,,3.489159,2.318912,1.0,1.0,69.938,29.804684,77.368,-6.811177,5.519387,2.439236,4.726563,3.399884,5.365307,506.774078,42.499435,-1.731771,287.424,-14.902342,235.0,0.001
134,46194,2025-06-08 18:08:31,4.85026,36.762154,48.700001,4.756221,,,,,3.489159,2.318912,1.0,1.0,69.938,29.804684,77.368,-6.811177,5.519387,2.439236,4.726563,3.399884,5.365307,506.774078,42.499435,-1.731771,287.424,-14.902342,235.0,0.001
134,46195,2025-06-08 18:08:32,4.746094,36.762154,48.700001,4.756221,,,,,3.487163,2.317572,1.0,1.0,121.904,31.406246,77.368,-6.446292,5.518663,2.439236,4.726563,3.399884,5.365307,498.604584,42.39938,-1.71007,287.424,-14.257811,235.0,0.001
134,46196,2025-06-08 18:08:32,4.754774,36.762154,48.700001,4.752604,,,,,3.483994,2.30502,1.0,1.0,203.098,33.242184,77.368,-9.152519,5.51794,2.439236,4.725839,3.399884,5.365307,505.160492,42.39938,-1.71875,287.424,-13.45703,235.0,0.001
134,46197,2025-06-08 18:08:33,4.815538,36.762154,48.700001,4.752604,,,,,3.478816,2.278336,1.0,1.0,273.545,35.507809,77.373,-4.865127,5.518663,2.439236,4.725839,3.399884,5.365307,488.640442,42.299324,-1.701389,287.424,-12.597655,235.0,0.001
134,46198,2025-06-08 18:08:33,4.748264,36.747684,48.700001,4.751157,,,,,3.474828,2.272595,1.0,1.0,325.495,33.886715,77.369,-13.318284,5.51794,2.439236,4.725116,3.399884,5.365307,479.844574,42.299324,-1.71007,287.421,-12.167968,235.0,0.001
134,46199,2025-06-08 18:08:34,4.67882,36.747684,48.700001,4.752604,,,,,3.469689,2.281231,1.0,1.0,389.872,121.132797,77.368,-9.943102,5.517216,2.439236,4.725116,3.399884,5.365307,485.891052,42.299324,-1.688368,287.421,-11.933593,235.0,0.001
134,46200,2025-06-08 18:08:34,4.67882,36.747684,48.700001,4.752604,,,,,3.469689,2.281231,1.0,1.0,389.872,121.132797,77.368,-9.943102,5.517216,2.439236,4.725116,3.399884,5.365307,485.891052,42.299324,-1.688368,287.421,-11.933593,235.0,0.001
134,46201,2025-06-08 18:08:35,4.707031,36.747684,48.700001,4.754051,,,,,3.455211,2.292172,1.0,1.0,519.639,20.332029,77.368,-7.966645,5.518663,2.439236,4.725116,3.399884,5.365307,496.897369,42.199272,-1.701389,287.417,-11.289062,234.0,0.001
134,46202,2025-06-08 18:08:35,4.707031,36.747684,48.700001,4.753327,,,,,3.454592,2.297559,1.0,1.0,520.047,21.953123,77.368,-9.730253,5.518663,2.439236,4.725116,3.399884,5.365307,495.967926,42.199272,-1.701389,287.417,-11.406249,235.0,0.001
135,46326,2025-06-08 18:09:39,4.741754,36.776619,48.799999,4.748264,,,,,3.436164,2.265459,1.0,1.0,520.001,12.460937,77.368,-5.990187,5.518663,2.439236,4.722222,3.399884,5.365307,456.852539,41.999165,-1.601563,287.417,-11.171874,235.0,0.001
